search_term	db_term	search_field
(2Z)-N-(5-chloro-2-methylphenyl)-2-hydroxy-4-(3-methoxyphenyl)-4-oxo-2-butenamide	KL-1	treatment
(2Z)-N-(5-chloro-2-methylphenyl)-4-(4-fluorophenyl)-2-hydroxy-4-oxo-2-butenamide	KL-2	treatment
(9E)-9-nitrooctadecenoic acid	nitro-octadec-9-enoic acid	treatment
1	1	replicate
1	1	sample_qc_score
1,6 hexanediol	1,6-hexanediol	treatment
1,6-hexanediol	1,6-hexanediol	treatment
1-NM-PP1	1-NM-PP1	treatment
1-Tert-Butyl-3-(3-Methylbenzyl)-1h-Pyrazolo[3,4-D]pyrimidin-4-Amine	3MB-PP1	treatment
1.9wR x wK	1.9wR x wK	strain
129/SV-Jae x castaneus	129/SV-Jae x castaneus	strain
129/Sv	129/Sv	strain
129/Sve	129/Sve	strain
129P2/OlaHsd	129P2/OlaHsd	strain
129S1/SvImJ x 129X1/SvJ	129S1/SvImJ x 129X1/SvJ	strain
129S1/SvImJ x C57BL/6J	129S1/SvImJ x C57BL/6J	strain
17-beta-estradiol	17-beta-estradiol	treatment
17-beta-estradiol withdrawal	17-beta-estradiol withdrawal	treatment
1NM-PP1	1-NM-PP1	treatment
2	2	replicate
2	2	sample_qc_score
2,5 hexanediol	2,5-hexanediol	treatment
2,5-hexanediol	2,5-hexanediol	treatment
2008	2008	year
2011	2011	year
2012	2012	year
2013	2013	year
2014	2014	year
2015	2015	year
2016	2016	year
2017	2017	year
2018	2018	year
2019	2019	year
2020	2020	year
2021	2021	year
2023	2023	year
3	3	replicate
3	3	sample_qc_score
3-MB-PP1	3MB-PP1	treatment
3D7	3D7	strain
3MB-PP1	3MB-PP1	treatment
3T3 L1	3T3-L1	cell_type
3T3-L1	3T3-L1	cell_type
3T3L1	3T3-L1	cell_type
4	4	replicate
4	4	sample_qc_score
4 thiouridine	4-thiouridine	treatment
4-SU	4-thiouridine	treatment
4-hydroxytamoxifen	hydroxytamoxifen	treatment
4-thiouridine	4-thiouridine	treatment
4SU	4-thiouridine	treatment
5	5	replicate
5	5	sample_qc_score
5,6-dichlorobenzimidazole 1-beta-D-ribofuranoside	DRB	treatment
5-aza-2'-deoxycytidine	5-aza-2'-deoxycytidine	treatment
5-aza-CdR	5-aza-2'-deoxycytidine	treatment
5-bromouridine	bromouridine	treatment
5-ethynyl uridine	ethynyl uridine	treatment
5EU	ethynyl uridine	treatment
6	6	replicate
76-NF2V	76NF2V	cell_type
76NF-2V	76NF2V	cell_type
76NF2V	76NF2V	cell_type
7SK antisense oligonucleotide	7SK antisense oligonucleotide	treatment
9-nitro-9E-octadecenoic acid	nitro-octadec-9-enoic acid	treatment
972 h-	972 h-	strain
9E-9-nitrooctadecenoic acid	nitro-octadec-9-enoic acid	treatment
9E-nitro-octadec-9-enoic acid	nitro-octadec-9-enoic acid	treatment
A thaliana	A. thaliana	organism
A-23187	A23187	treatment
A-2780	A2780	cell_type
A-375	A375	cell_type
A-549	A549	cell_type
A. thaliana	A. thaliana	organism
A. thaliana	A. thaliana	spikein
A23187	A23187	treatment
A2780	A2780	cell_type
A375	A375	cell_type
A549	A549	cell_type
A771726	A771726	treatment
AC-16	AC16	cell_type
AC16	AC16	cell_type
AGPv4	AGPv4	genome_build
AKT inhibitor 1/2	AKTi-1/2	treatment
AKT inhibitor-1/2	AKTi-1/2	treatment
AKTi-1/2	AKTi-1/2	treatment
ARPE 19	ARPE-19	cell_type
ARPE-19	ARPE-19	cell_type
ARPE19	ARPE-19	cell_type
AU-565	AU565	cell_type
AU565	AU565	cell_type
AZ'5576	AZ'5576	treatment
AZ5576	AZ'5576	treatment
Aalto-Setala	Aalto-Setala	last_author
Adelman	Adelman	last_author
Aeby	Aeby	first_author
Aeby2020decapping	Aeby2020decapping	paper_name
Agami	Agami	last_author
Agarwal	Agarwal	first_author
Agarwal2021kdm1a	Agarwal2021kdm1a	paper_name
Ago1 mut	Ago1 mut	genotype
Ago4 mut	Ago4 mut	genotype
Ago4 mut; Ago4 D762A exogenous (stable)	Ago4 mut; Ago4 D762A exogenous (stable)	genotype
Ago4 mut; Ago4 exogenous (stable)	Ago4 mut; Ago4 exogenous (stable)	genotype
Ago4 mut; Ago6 mut; Ago9 mut	Ago4 mut; Ago6 mut; Ago9 mut	genotype
Ago4 mut; Ago6 mut; Ago9 mut; Ago4 D762A exogenous (stable)	Ago4 mut; Ago6 mut; Ago9 mut; Ago4 D762A exogenous (stable)	genotype
Ago4 mut; Ago6 mut; Ago9 mut; Ago4 exogenous (stable)	Ago4 mut; Ago6 mut; Ago9 mut; Ago4 exogenous (stable)	genotype
Aho	Aho	first_author
Aho2019displacement	Aho2019displacement	paper_name
Aid -/-	Aid -/-	genotype
Aid -/-; 3' IgH CBE -/-	Aid -/-; 3' IgH CBE -/-	genotype
Aiden	Aiden	last_author
Aifantis	Aifantis	last_author
Akulenko	Akulenko	first_author
Akulenko2018transcriptional	Akulenko2018transcriptional	paper_name
Al-Husini	Al-Husini	first_author
Alexander	Alexander	first_author
Alexander2019imprinted	Alexander2019imprinted	paper_name
Alhusini2017genomewide	Alhusini2017genomewide	paper_name
Allen	Allen	first_author
Allen2014global	Allen2014global	paper_name
Alt	Alt	last_author
Aml1-ETO dTAG-inducible degron	Aml1-ETO dTAG-inducible degron	genotype
Anderson	Anderson	first_author
Anderson2020defining	Anderson2020defining	paper_name
Andersson	Andersson	first_author
Andersson2014nuclear	Andersson2014nuclear	paper_name
Andrade	Andrade	first_author
Andrade2015dna	Andrade2015dna	paper_name
Andrysik	Andrysik	first_author
Andrysik2017identification	Andrysik2017identification	paper_name
Ansari	Ansari	last_author
Aoi	Aoi	first_author
Aoi2020nelf	Aoi2020nelf	paper_name
Aprile-Garcia	Aprile-Garcia	first_author
Aprile-garcia2019nascent	Aprile-garcia2019nascent	paper_name
Arabidopsis	A. thaliana	organism
Aravin	Aravin	last_author
Ashe	Ashe	last_author
AtT-20	AtT20	cell_type
AtT20	AtT20	cell_type
Atm -/-	Atm -/-	genotype
Atxn10 exonic antisense oligonucleotide 1	Atxn10 exonic antisense oligonucleotide 1	treatment
Atxn10 intronic antisense oligonucleotide 1	Atxn10 intronic antisense oligonucleotide 1	treatment
B cell	B cell	cell_type
B-cell	B cell	cell_type
B2086 x CU428	B2086 x CU428	strain
B27 supplement	RPMI/B27	treatment
B2B	BEAS-2B	cell_type
B73	B73	strain
BALB/cJ	BALB/cJ	strain
BALBc/J	BALBc/J	strain
BEAS 2B	BEAS-2B	cell_type
BEAS-2B	BEAS-2B	cell_type
BEAS2B	BEAS-2B	cell_type
BET bromodomain inhibitor JQ1	JQ1	treatment
BJ	BJ	cell_type
BJ-5ta	BJ5ta	cell_type
BJ5ta	BJ5ta	cell_type
BRM 014	BRM014	treatment
BRM-014	BRM014	treatment
BRM014	BRM014	treatment
BU	bromouridine	treatment
BY4733	BY4733	strain
BY4742	BY4742	strain
Ba	Ba	first_author
Ba2020ctcf	Ba2020ctcf	paper_name
Bahat	Bahat	first_author
Bahat2019targeting	Bahat2019targeting	paper_name
Bai	Bai	last_author
Baines	Baines	last_author
Barbieri	Barbieri	first_author
Barbieri2020rapid	Barbieri2020rapid	paper_name
Barros de Andrade E Sousa	Barros de Andrade E Sousa	first_author
Barucci	Barucci	first_author
Barucci2020small	Barucci2020small	paper_name
Bcl11a -/-	Bcl11a -/-	genotype
Beckedorff	Beckedorff	first_author
Beckedorff2020human	Beckedorff2020human	paper_name
Bentley	Bentley	last_author
Berger	Berger	last_author
Bi	Bi	first_author
Bi2020enhancer	Bi2020enhancer	paper_name
BirA (stable); Rev-erb-alpha BLRP (stable)	BirA (stable); Rev-erb-alpha BLRP (stable)	genotype
BirA knock-in	BirA knock-in	genotype
BirA; Rev-erb-alpha	BirA; Rev-erb-alpha	construct
Birkenheuer	Birkenheuer	first_author
Birkenheuer2018herpes	Birkenheuer2018herpes	paper_name
Birkenheuer2020rna	Birkenheuer2020rna	paper_name
Black Swiss	Black Swiss	strain
Blumberg	Blumberg	first_author
Blumberg2021characterizing	Blumberg2021characterizing	paper_name
Boija	Boija	first_author
Boija2017cbp	Boija2017cbp	paper_name
Bonelt	Bonelt	first_author
Bonelt2019precocious	Bonelt2019precocious	paper_name
Booth	Booth	first_author
Booth2016divergence	Booth2016divergence	paper_name
Booth2018cdk9	Booth2018cdk9	paper_name
Bouvy-Liivrand	Bouvy-Liivrand	first_author
Bouvyliivrand2017analysis	Bouvyliivrand2017analysis	paper_name
Boxer	Boxer	first_author
Boxer2020mecp2	Boxer2020mecp2	paper_name
Brennecke	Brennecke	last_author
Brickman	Brickman	last_author
Busslinger	Busslinger	first_author
Busslinger	Busslinger	last_author
Busslinger2017cohesin	Busslinger2017cohesin	paper_name
C elegans	C. elegans	organism
C griseus	C. griseus	organism
C lupus	C. lupus familiaris	organism
C lupus familiaris	C. lupus familiaris	organism
C. elegans	C. elegans	organism
C. griseus	C. griseus	organism
C. lupus familiaris	C. lupus familiaris	organism
C2C12	C2C12	cell_type
C3	C3	treatment
C37	C37 control drug	treatment
C37 control drug	C37 control drug	treatment
C57BL/6	C57BL/6	strain
C57BL/6 x 129/Sv	C57BL/6 x 129/Sv	strain
C57BL/6 x CAST/EiJ	C57BL/6 x CAST/EiJ	strain
C57BL/6(f) x (C57BL/6 x CAST/EiJ)(m)	C57BL/6(f) x (C57BL/6 x CAST/EiJ)(m)	strain
C57BL/6(f) x 129/Sv(m)	C57BL/6(f) x 129/Sv(m)	strain
C57BL/6J	C57BL/6J	strain
C57BL/6J mice(f) x PWK/PhJ(m)	C57BL/6J mice(f) x PWK/PhJ(m)	strain
C57BL/6J mice(f) x SPRET/EiJ(m)	C57BL/6J mice(f) x SPRET/EiJ(m)	strain
C57BL/6J x CAST/EiJ	C57BL/6J x CAST/EiJ	strain
C57Bl/6EiJ	C57Bl/6EiJ	strain
C646	C646 CBP inhibitor	treatment
C646 CBP inhibitor	C646 CBP inhibitor	treatment
CD14 macrophage	CD14+ macrophage	cell_type
CD14+ macrophage	CD14+ macrophage	cell_type
CD19 positive	cell sorting CD19+	treatment
CD19+	cell sorting CD19+	treatment
CD23 positive	cell sorting CD23+	treatment
CD23+	cell sorting CD23+	treatment
CD34+ erythroblast	CD34+ erythroblast	cell_type
CD34+ progenitor cell	hematopoietic progenitor cell	cell_type
CD4 T cell	CD4+ T cell	cell_type
CD4 T-cell	CD4+ T cell	cell_type
CD4+ T cell	CD4+ T cell	cell_type
CD4+ T-cell	CD4+ T cell	cell_type
CH +/-; Aid -/-	CH +/-; Aid -/-	genotype
CH +/-; Aid -/-; I-alpha -/-	CH +/-; Aid -/-; I-alpha -/-	genotype
CH +/-; Aid -/-; I-alpha -/-; 3xCTCF-binding element knock-in	CH +/-; Aid -/-; I-alpha -/-; 3xCTCF-binding element knock-in	genotype
CH 99021	CH99021	treatment
CH-12-F3	CH12F3	cell_type
CH-12F3	CH12F3	cell_type
CH-99021	CH99021	treatment
CH12-F3	CH12F3	cell_type
CH12F-3	CH12F3	cell_type
CH12F3	CH12F3	cell_type
CH99021	CH99021	treatment
CHIR99021	CHIR99021	treatment
CHO-K1	CHO-K1	cell_type
CHOK1	CHO-K1	cell_type
CPT	camptothecin	treatment
CS118 (Isk1as)	CS118 (Isk1as)	strain
CTCF binding site -/-	CTCF binding site -/-	genotype
CUTLL1	CUTLL1	cell_type
Carbonyl cyanide-p-trifluoromethoxyphenylhydrazone	FCCP	treatment
Cardamone	Cardamone	first_author
Cardamone2018mitochondrial	Cardamone2018mitochondrial	paper_name
Casellas	Casellas	last_author
Cdk12 F813G/-	Cdk12 F813G/-	genotype
Cdk12 F813G/-; Cdk13 F791G/-	Cdk12 F813G/-; Cdk13 F791G/-	genotype
Cdk12 F813G/-; Cdk13 F791G/F791G	Cdk12 F813G/-; Cdk13 F791G/F791G	genotype
Cdk13 F791G/F791G	Cdk13 F791G/F791G	genotype
Cdk8 F97G	Cdk8 F97G	genotype
Cecere	Cecere	first_author
Cecere	Cecere	last_author
Cecere2013zfp1	Cecere2013zfp1	paper_name
Cecere2014global	Cecere2014global	paper_name
ChRO-seq	ChRO-seq	protocol
Chan	Chan	last_author
Chang	Chang	last_author
Chen	Chen	first_author
Chen2014gene	Chen2014gene	paper_name
Chen2015paf1	Chen2015paf1	paper_name
Chen2016cutoff	Chen2016cutoff	paper_name
Chen2017rchip	Chen2017rchip	paper_name
Chen2018augmented	Chen2018augmented	paper_name
Chen2018rna	Chen2018rna	paper_name
Chesapeake Bay retriever	Chesapeake Bay retriever	strain
Cheung	Cheung	last_author
Chiarle	Chiarle	last_author
Chinese hamster	C. griseus	organism
Chivu	Chivu	first_author
Chivu2020unpublished	Chivu2020unpublished	paper_name
Chory	Chory	last_author
Chu	Chu	first_author
Chu2018chromatin	Chu2018chromatin	paper_name
Churchman	Churchman	last_author
Col 0	Col 0	strain
Col 0 x Wassilewskija	Col 0 x Wassilewskija	strain
Col-0	Col-0	strain
Compagno	Compagno	first_author
Compagno2017phosphatidylinositol	Compagno2017phosphatidylinositol	paper_name
Coonrod	Coonrod	last_author
Core	Core	first_author
Core2008nascent	Core2008nascent	paper_name
Core2012defining	Core2012defining	paper_name
Core2014analysis	Core2014analysis	paper_name
Cosby	Cosby	first_author
Cosby2021recurrent	Cosby2021recurrent	paper_name
Csb CS1AN mut	Csb CS1AN mut	genotype
Ctcf fl/fl; WapI fl/fl	Ctcf fl/fl; WapI fl/fl	genotype
CuSO4	copper sulfate	treatment
Cuartero	Cuartero	first_author
Cuartero2020control	Cuartero2020control	paper_name
Czimmerer	Czimmerer	first_author
Czimmerer2018transcription	Czimmerer2018transcription	paper_name
D melanogaster	D. melanogaster	organism
D. melanogaster	D. melanogaster	organism
D. melanogaster	D. melanogaster	spikein
DHT	dihydrotestosterone	treatment
DL-1	DL1	cell_type
DL1	DL1	cell_type
DLD-1 Flp In	DLD1 Flp-In	cell_type
DLD-1 Flp-In	DLD1 Flp-In	cell_type
DLD1 Flp In	DLD1 Flp-In	cell_type
DLD1 Flp-In	DLD1 Flp-In	cell_type
DMOG	dimethyloxalylglycine	treatment
DMSO	DMSO	treatment
DMSO 	DMSO 	treatment
DMSO/ethanol	DMSO/ethanol	treatment
DRB	DRB	treatment
Dai	Dai	first_author
Dai	Dai	last_author
Dai2020loop	Dai2020loop	paper_name
Daniel	Daniel	first_author
Daniel2018nuclear	Daniel2018nuclear	paper_name
Danko	Danko	first_author
Danko	Danko	last_author
Danko2013signaling	Danko2013signaling	paper_name
Danko2015identification	Danko2015identification	paper_name
Danko2018dynamic	Danko2018dynamic	paper_name
Daudi	Daudi	cell_type
Dcp1a -/-	Dcp1a -/-	genotype
Delgado-Benito	Delgado-Benito	first_author
Delgado-benito2018chromatin	Delgado-benito2018chromatin	paper_name
Dikstein	Dikstein	last_author
Dmnt3a fl/fl	Dmnt3a fl/fl	genotype
Dmnt3a fl/fl; Nestin-Cre	Dmnt3a fl/fl; Nestin-Cre	genotype
Dong	Dong	last_author
Dorighi	Dorighi	first_author
Dorighi2017mll3	Dorighi2017mll3	paper_name
Dorsett	Dorsett	last_author
Douillet	Douillet	first_author
Douillet2020uncoupling	Douillet2020uncoupling	paper_name
Dowell	Dowell	last_author
Drm3 mut	Drm3 mut	genotype
Duarte	Duarte	first_author
Duarte2016transcription	Duarte2016transcription	paper_name
Dukler	Dukler	first_author
Dukler2017nascent	Dukler2017nascent	paper_name
Duttke	Duttke	first_author
Duttke2015human	Duttke2015human	paper_name
Duttke2017unpublished	Duttke2017unpublished	paper_name
Dynlacht	Dynlacht	last_author
E coli	E. coli	organism
E. caballus	E. caballus	organism
E. coli	E. coli	organism
E2	17-beta-estradiol	treatment
E2 withdrawal	17-beta-estradiol withdrawal	treatment
EB1	EB1	genome_build
ECO-MG	ECOMG	cell_type
ECOM-G	ECOMG	cell_type
ECOMG	ECOMG	cell_type
EF2	EF2	genome_build
EGF	EGF	treatment
EGFP negative	cell sorting EGFP-	treatment
EGFP positive	cell sorting EGFP+	treatment
EGFP+	cell sorting EGFP+	treatment
EGFP-	cell sorting EGFP-	treatment
ER-alpha enhancer -/-	ER-alpha enhancer -/-	genotype
ER-beta flag (stable)	ER-beta flag (stable)	genotype
ERR769522	ERR769522	sample_name
ERR769522	ERR769522	srr
ERR769523	ERR769523	sample_name
ERR769523	ERR769523	srr
ERR769524	ERR769524	sample_name
ERR769524	ERR769524	srr
ERR769525	ERR769525	sample_name
ERR769525	ERR769525	srr
ESC	ESC	cell_type
EU	ethynyl uridine	treatment
Ebf1 fl/+; Cd23-Cre	Ebf1 fl/+; Cd23-Cre	genotype
Ebf1 fl/-; Cd23-Cre	Ebf1 fl/-; Cd23-Cre	genotype
Eilers	Eilers	last_author
Elkon	Elkon	first_author
Elkon2015myc	Elkon2015myc	paper_name
Elrod	Elrod	first_author
Elrod2019integrator	Elrod2019integrator	paper_name
Emmett	Emmett	first_author
Emmett2017histone	Emmett2017histone	paper_name
Engreitz	Engreitz	first_author
Engreitz2016local	Engreitz2016local	paper_name
Erhard	Erhard	first_author
Erhard2015nascent	Erhard2015nascent	paper_name
Escoubet-Lozach	Escoubet-Lozach	first_author
Escoubet-lozach2011mechanisms	Escoubet-lozach2011mechanisms	paper_name
Esousa2019kinetics	Esousa2019kinetics	paper_name
Espinosa	Espinosa	last_author
Esr1 (stable)	Esr1 (stable)	genotype
Esr1 L540Q (stable)	Esr1 L540Q (stable)	genotype
Estaras	Estaras	first_author
Estaras2015smad	Estaras2015smad	paper_name
Esteban	Esteban	last_author
EtOH	ethanol	treatment
Etchegaray	Etchegaray	first_author
