identifier	srp	srr	srz	replicate	protocol	organism	sample type	cell type	clone_individual	strain	genotype	construct	baseline_control_expt	treatment type	treatment	times	timecourse	library prep	spike in	notes	experimentally not usable	curator 1	curator 2	published	bibtex	author	year	last author	doi	single_paired	rcomp	other data	atac seq	rna seq	chip seq	three d	other seq
Jiang2018multi	SRP133625	SRR6789175		rep1	GRO-seq	H. sapiens	cell line	HCT116					baseline	no treatment			0	ligation	None		0	Tony	Rutendo	1		Jiang	2018	Wang	10.1038/s41598-018-24039-1	single	0	1	0	1	0	0	1
Jiang2018multi	SRP133625	SRR6789176		rep2	GRO-seq	H. sapiens	cell line	HCT116					baseline	no treatment			0	ligation	None		0	Tony	Rutendo	1		Jiang	2018	Wang	10.1038/s41598-018-24039-1	single	0	1	0	1	0	0	1
Orioli2016human	SRP064802	SRR2634645		rep1	other	H. sapiens	cell line	IMR90					control	treatment	ethynyl uridine(250 microM)	-5,0,hr	0	random primed	None	neusRNA‐seq small tRNA incorporate EU	0	Marko	Chi	1		Orioli	2016	Hernandez	10.1101/gr.201400.115	single	0	1	0	0	1	0	1
Orioli2016human	SRP064802	SRR2634646		rep2	other	H. sapiens	cell line	IMR90					control	treatment	ethynyl uridine(250 microM)	-5,0,hr	0	random primed	None	neusRNA‐seq small tRNA incorporate EU	0	Marko	Chi	1		Orioli	2016	Hernandez	10.1101/gr.201400.115	single	0	1	0	0	1	0	1
Orioli2016human	SRP064802	SRR2634647		rep3	other	H. sapiens	cell line	IMR90					control	treatment	ethynyl uridine(250 microM)	-5,0,hr	0	random primed	None	neusRNA‐seq small tRNA incorporate EU	0	Marko	Chi	1		Orioli	2016	Hernandez	10.1101/gr.201400.115	single	0	1	0	0	1	0	1
Orioli2016human	SRP064802	SRR2634648		rep1	other	H. sapiens	cell line	IMR90					control	vehicle	DMSO	-5,0,hr	0	random primed	None	neusRNA‐seq small tRNA incorporate EU	0	Marko	Chi	1		Orioli	2016	Hernandez	10.1101/gr.201400.115	single	0	1	0	0	1	0	1
Orioli2016human	SRP064802	SRR2634649		rep2	other	H. sapiens	cell line	IMR90					control	vehicle	DMSO	-5,0,hr	0	random primed	None	neusRNA‐seq small tRNA incorporate EU	0	Marko	Chi	1		Orioli	2016	Hernandez	10.1101/gr.201400.115	single	0	1	0	0	1	0	1
Orioli2016human	SRP064802	SRR2634650		rep3	other	H. sapiens	cell line	IMR90					control	vehicle	DMSO	-5,0,hr	0	random primed	None	neusRNA‐seq small tRNA incorporate EU	0	Marko	Chi	1		Orioli	2016	Hernandez	10.1101/gr.201400.115	single	0	1	0	0	1	0	1
Orioli2016human	SRP064802	SRR2634651		rep1	other	H. sapiens	cell line	IMR90					experimental	treatment;treatment	ethynyl uridine(250 microM);serum starvation	-5,0,hr;-5,0,hr	0	random primed	None	neusRNA‐seq small tRNA incorporate EU	0	Marko	Chi	1		Orioli	2016	Hernandez	10.1101/gr.201400.115	single	0	1	0	0	1	0	1
Orioli2016human	SRP064802	SRR2634652		rep2	other	H. sapiens	cell line	IMR90					experimental	treatment;treatment	ethynyl uridine(250 microM);serum starvation	-5,0,hr;-5,0,hr	0	random primed	None	neusRNA‐seq small tRNA incorporate EU	0	Marko	Chi	1		Orioli	2016	Hernandez	10.1101/gr.201400.115	single	0	1	0	0	1	0	1
Orioli2016human	SRP064802	SRR2634653		rep3	other	H. sapiens	cell line	IMR90					experimental	treatment;treatment	ethynyl uridine(250 microM);serum starvation	-5,0,hr;-5,0,hr	0	random primed	None	neusRNA‐seq small tRNA incorporate EU	0	Marko	Chi	1		Orioli	2016	Hernandez	10.1101/gr.201400.115	single	0	1	0	0	1	0	1
Orioli2016human	SRP064802	SRR2634654		rep1	other	H. sapiens	cell line	IMR90					experimental	vehicle;treatment	DMSO;serum starvation	-5,0,hr;-5,0,hr	0	random primed	None	neusRNA‐seq small tRNA incorporate EU	0	Marko	Chi	1		Orioli	2016	Hernandez	10.1101/gr.201400.115	single	0	1	0	0	1	0	1
Orioli2016human	SRP064802	SRR2634655		rep2	other	H. sapiens	cell line	IMR90					experimental	vehicle;treatment	DMSO;serum starvation	-5,0,hr;-5,0,hr	0	random primed	None	neusRNA‐seq small tRNA incorporate EU	0	Marko	Chi	1		Orioli	2016	Hernandez	10.1101/gr.201400.115	single	0	1	0	0	1	0	1
Orioli2016human	SRP064802	SRR2634656		rep3	other	H. sapiens	cell line	IMR90					experimental	vehicle;treatment	DMSO;serum starvation	-5,0,hr;-5,0,hr	0	random primed	None	neusRNA‐seq small tRNA incorporate EU	0	Marko	Chi	1		Orioli	2016	Hernandez	10.1101/gr.201400.115	single	0	1	0	0	1	0	1
Kantidakis2016mutation	SRP063847	SRR2432159		rep1	GRO-seq	M. musculus	cell line	MEF			Mll2 fl/fl; tamoxifen-inducible Cre		control	no treatment			0	ligation	None		0	Marko	Daniel	1	Kantidakis2016mutation	Kantidakis	2016	Svejstrup	10.1101/gad.275453.115	single	1	1	0	0	1	0	0
Kantidakis2016mutation	SRP063847	SRR2432160		rep1	GRO-seq	M. musculus	cell line	MEF			Mll2 fl/fl; tamoxifen-inducible Cre		experimental	treatment	hydroxytamoxifen(1 microM)	-24,0,hr	0	ligation	None	when cells were treated with tamoxifen for 24 h, it resulted in the complete excision of MLL2 exons 3–5	0	Marko	Daniel	1	Kantidakis2016mutation	Kantidakis	2016	Svejstrup	10.1101/gad.275453.115	single	1	1	0	0	1	0	0
