srr	condition_type	treatment	conc_intens	start_time	end_time	time_unit
SRR6789175	no treatment					
SRR6789176	no treatment					
SRR2634645	treatment	ethynyl uridine	250 microM	-5	0	hr
SRR2634646	treatment	ethynyl uridine	250 microM	-5	0	hr
SRR2634647	treatment	ethynyl uridine	250 microM	-5	0	hr
SRR2634648	vehicle	DMSO	NA or not known	-5	0	hr
SRR2634649	vehicle	DMSO	NA or not known	-5	0	hr
SRR2634650	vehicle	DMSO	NA or not known	-5	0	hr
SRR2634651	treatment	ethynyl uridine	250 microM	-5	0	hr
SRR2634651	treatment	serum starvation	NA or not known	-5	0	hr
SRR2634652	treatment	ethynyl uridine	250 microM	-5	0	hr
SRR2634652	treatment	serum starvation	NA or not known	-5	0	hr
SRR2634653	treatment	ethynyl uridine	250 microM	-5	0	hr
SRR2634653	treatment	serum starvation	NA or not known	-5	0	hr
SRR2634654	vehicle	DMSO	NA or not known	-5	0	hr
SRR2634654	treatment	serum starvation	NA or not known	-5	0	hr
SRR2634655	vehicle	DMSO	NA or not known	-5	0	hr
SRR2634655	treatment	serum starvation	NA or not known	-5	0	hr
SRR2634656	vehicle	DMSO	NA or not known	-5	0	hr
SRR2634656	treatment	serum starvation	NA or not known	-5	0	hr
SRR2432159	no treatment					
SRR2432160	treatment	hydroxytamoxifen	1 microM	-24	0	hr
SRR2432161	treatment	hydroxytamoxifen	1 microM	-24	0	hr
SRR2432162	no treatment					
SRR3051599	no treatment					
SRR3051600	treatment	hydroxytamoxifen	NA or not known	-300	-240	hr
SRR3051601	no treatment					
SRR3051602	treatment	adeno-Cre virus	1 microL/million cells	-244	-240	hr
SRR3051603	no treatment					
SRR3051604	treatment	adeno-Cre virus	1 microL/million cells	-244	-240	hr
SRR3051605	no treatment					
SRR3051606	treatment	adeno-Cre virus	1 microL/million cells	-244	-240	hr
SRR3657419	treatment	adeno-Cre virus	1 microL/million cells	-244	-240	hr
SRR3657419	treatment	DRB	100 microM	-210	0	min
SRR3657420	treatment	adeno-Cre virus	1 microL/million cells	-268	-264	hr
SRR3657420	treatment	DRB	100 microM	-1650	-1440	min
SRR1950491	treatment	doxycycline	500 ng/mL	-24	0	hr
SRR1950492	treatment	doxycycline	500 ng/mL	-24	0	hr
SRR1950493	treatment	doxycycline	500 ng/mL	-24	0	hr
SRR1950494	treatment	doxycycline	500 ng/mL	-24	0	hr
SRR1950495	no treatment					
SRR1950496	no treatment					
SRR1950498	no treatment					
SRR1950497	no treatment					
SRR1950499	treatment	doxycycline	500 ng/mL	-4	0	hr
SRR1950500	treatment	doxycycline	500 ng/mL	-4	0	hr
