srr	bigwig	tfit	mdscore	keyword	organism	tissue	general_celltype	specific_celltype	treatment_code	treated_or_like_treated	experiment_type	sample_name
ERR769522_1	1	1	1	Laitem2015	human	cervical_cancer	HeLa	HeLa	DRB	yes	GRO-seq	ERR769522
ERR769522_2	1	1	1	Laitem2015	human	cervical_cancer	HeLa	HeLa	DRB	yes	GRO-seq	ERR769522
ERR769523_1	1	1	1	Laitem2015	human	cervical_cancer	HeLa	HeLa	KM05382	yes	GRO-seq	ERR769523
ERR769523_2	1	1	1	Laitem2015	human	cervical_cancer	HeLa	HeLa	KM05382	yes	GRO-seq	ERR769523
ERR769524_1	1	1	1	Laitem2015	human	cervical_cancer	HeLa	HeLa	DRB_control	yes	GRO-seq	ERR769524
ERR769524_2	1	1	1	Laitem2015	human	cervical_cancer	HeLa	HeLa	DRB_control	yes	GRO-seq	ERR769524
ERR769525_1	1	1	1	Laitem2015	human	cervical_cancer	HeLa	HeLa	KM_control	yes	GRO-seq	ERR769525
ERR769525_2	1	1	1	Laitem2015	human	cervical_cancer	HeLa	HeLa	KM_control	yes	GRO-seq	ERR769525
SRR014283	1	1	1	Core2008	human	lung	fetal_lung	IMR90	na	no	GRO-seq	SRZ014283
SRR014284	1	1	1	Core2008	human	lung	fetal_lung	IMR90	na	no	GRO-seq	SRZ014283
SRR014285	1	1	1	Core2008	human	lung	fetal_lung	IMR90	na	no	GRO-seq	SRZ014283
SRR014286	1	1	1	Core2008	human	lung	fetal_lung	IMR90	na	no	GRO-seq	SRZ014286
SRR014287	1	1	1	Core2008	human	lung	fetal_lung	IMR90	na	no	GRO-seq	SRZ014286
SRR1015583	1	1	1	Luo2014	human	heart	AC16	AC16	vehicle	no	GRO-seq	SRR1015583
SRR1015584	1	1	1	Luo2014	human	heart	AC16	AC16	vehicle	no	GRO-seq	SRR1015584
SRR1015585	1	1	1	Luo2014	human	heart	AC16	AC16	TNFa_10min	yes	GRO-seq	SRR1015585
SRR1015586	1	1	1	Luo2014	human	heart	AC16	AC16	TNFa_10min	yes	GRO-seq	SRR1015586
SRR1015587	1	1	1	Luo2014	human	heart	AC16	AC16	TNFa_30min	yes	GRO-seq	SRR1015587
SRR1015588	1	1	1	Luo2014	human	heart	AC16	AC16	TNFa_30min	yes	GRO-seq	SRR1015588
SRR1015589	1	1	1	Luo2014	human	heart	AC16	AC16	TNFa_120min	yes	GRO-seq	SRR1015589
SRR1015590	1	1	1	Luo2014	human	heart	AC16	AC16	TNFa_120min	yes	GRO-seq	SRR1015590
SRR1015591	1	1	1	Luo2014	human	heart	AC16	AC16	control_notvechicle	no	GRO-seq	SRR1015591
SRR1015592	1	1	1	Luo2014	human	heart	AC16	AC16	control_notvechicle	no	GRO-seq	SRR1015592
SRR1015593	1	1	1	Luo2014	human	heart	AC16	AC16	a-amanitin_15min	yes	GRO-seq	SRR1015593
SRR1015594	1	1	1	Luo2014	human	heart	AC16	AC16	a-amanitin_15min	yes	GRO-seq	SRR1015594
SRR1035898	1	1	1	Kaikkonen2014	human	Umbilical	Endothelial	HUVEC	control_2hr	no	GRO-seq	SRR1035898
SRR1035899	1	1	1	Kaikkonen2014	human	Umbilical	Endothelial	HUVEC	VEGFA_2hr	yes	GRO-seq	SRR1035899
SRR1035900	1	1	1	Kaikkonen2014	human	heart	Endothelial	HAEC	control_2hr	no	GRO-seq	SRR1035900
SRR1035901	1	1	1	Kaikkonen2014	human	heart	Endothelial	HAEC	VEGFA_2hr	yes	GRO-seq	SRR1035901
SRR1041870	1	0	1	Miller2015	human	lung_carcinoma	A549	A549	control	no	GRO-seq	SRR1041870
SRR1041871	1	0	1	Miller2015	human	lung_carcinoma	A549	A549	control	no	GRO-seq	SRR1041871
SRR1041872	1	0	1	Miller2015	human	lung_carcinoma	A549	A549	siSetx	yes	GRO-seq	SRR1041872
SRR1041873	1	0	1	Miller2015	human	lung_carcinoma	A549	A549	siSetx	yes	GRO-seq	SRR1041873
SRR1105736	1	1	1	Allen2014	human	colon_cancer	HCT116	HCT116	DMSO_1hr	no	GRO-seq	SRR1105736
SRR1105737	1	1	1	Allen2014	human	colon_cancer	HCT116	HCT116	DMSO_1hr	no	GRO-seq	SRR1105737
SRR1105738	1	1	1	Allen2014	human	colon_cancer	HCT116	HCT116	Nutlin_1hr	yes	GRO-seq	SRR1105738
SRR1105739	1	1	1	Allen2014	human	colon_cancer	HCT116	HCT116	Nutlin_1hr	yes	GRO-seq	SRR1105739
SRR1105740	1	1	1	Allen2014	human	colon_cancer	HCT116	p53HCT116	DMSO_1hr	no	GRO-seq	SRR1105740
SRR1105741	1	1	1	Allen2014	human	colon_cancer	HCT116	p53HCT116	Nutlin_1hr	yes	GRO-seq	SRR1105741
SRR1145801	1	0	1	Wang2015a	human	hESC	CyT49	CyT49_undifferentiated_hESC	none	no	GRO-seq	SRR1145801
SRR1145808	1	0	1	Wang2015a	human	hESC	CyT49	CyT49_definitive_endoderm	none	no	GRO-seq	SRR1145808
SRR1145815	1	0	1	Wang2015a	human	hESC	CyT49	CyT49_primitive_gut_tube	none	no	GRO-seq	SRR1145815
SRR1145822	1	0	1	Wang2015a	human	hESC	CyT49	CyT49_posterior_foregut	none	no	GRO-seq	SRR1145822
SRR1145829	1	0	1	Wang2015a	human	hESC	CyT49	CyT49_pancreatic_endoderm	none	no	GRO-seq	SRR1145829
SRR1192053	1	0	1	Jin2014	human	prostate_cancer	LNCap	LNCap	DMSO_2hr+DHT_1hr	yes	GRO-seq	SRR1192053
SRR1192054	1	0	1	Jin2014	human	prostate_cancer	LNCap	LNCap	DMSO_2hr+Etoh_1hr	no	GRO-seq	SRR1192054
SRR1192055	1	0	1	Jin2014	human	prostate_cancer	LNCap	LNCap	SD70_2hr+DHT_1hr	yes	GRO-seq	SRR1192055
SRR1192056	1	0	1	Jin2014	human	prostate_cancer	LNCap	LNCap	SD70_2hr+Etoh_1hr	yes	GRO-seq	SRR1192056
SRR1219737	1	1	1	Sigova2013	human	ESC	H1	H1	Activin_48hr	yes	GRO-seq	SRR1219737
