organism	sample_type	cell_type	tissue	cell_origin_type	tissue_description	disease
A. thaliana	tissue	inflorescence and meristem	inflorescence and meristem	None	inflorescence and meristem	0
A. thaliana	tissue	leaf	leaf	None	leaf	0
A. thaliana	tissue	seed	seed	None	seed	0
A. thaliana	tissue	seedling	seedling	None	seedling	0
C. elegans	organism	whole worm	multiple	None	whole worm	0
C. griseus	primary cell	bone marrow derived macrophage	blood	myeloblast	blood; marrow	0
C. griseus	tissue	brain	brain	None	brain	0
C. griseus	cell line	CHO-K1	ovary	epithelial	ovary	0
C. griseus	tissue	kidney	kidney	None	kidney	0
C. griseus	tissue	liver	liver	None	liver	0
C. griseus	tissue	lung	lung	None	lung	0
C. lupus familiaris	tissue	embryonic gonad	gonad	None	embryonic gonad	0
C. lupus familiaris	tissue	spleen	spleen	None	spleen	0
C. lupus familiaris	tissue	spleen hemangiosarcoma	spleen	None	spleen hemangiosarcoma	1
D. melanogaster	cell line	DL1	embryo	unknown	embryo	0
D. melanogaster	tissue	embryo	multiple	None	embryo	0
D. melanogaster	tissue	head	multiple	None	head	0
D. melanogaster	cell line	ML-DmBG3-c2	nervous	unknown	central nervous system	0
D. melanogaster	cell line	ovarian somatic cell	ovary	unknown	ovary	0
D. melanogaster	tissue	ovary	ovary	None	ovary	0
D. melanogaster	cell line	S2	embryo	unknown	embryo	0
D. melanogaster	organism	whole fly	multiple	None	head	0
E. caballus	tissue	liver	liver	None	liver	0
E. coli	organism	whole bacteria	None	None	whole bacteria	0
H. sapiens	cell line	76NF2V	breast	epithelial	breast; mammary	0
H. sapiens	cell line	A2780	ovary	epithelial	ovary; ovarian carcinoma	1
H. sapiens	cell line	A375	skin	epithelial	skin; melanoma	1
H. sapiens	cell line	A549	lung	epithelial	lung; lung carcinoma	1
H. sapiens	cell line	AC16	heart	cardiomyoblast	heart; cardiac fused with fibroblast	0
H. sapiens	primary cell	acute myeloid leukemia cell	blood	myeloblast	blood; acute myeloid leukemia	1
H. sapiens	cell line	ARPE-19	eye	epithelial	eye; retinal epithelium	0
H. sapiens	cell line	AU565	breast	epithelial	breast; mammary; adenocarcinoma	1
H. sapiens	cell line	B cell	blood	lymphoblast	blood; marrow	0
H. sapiens	cell line	BEAS-2B	lung	epithelial	lung	0
H. sapiens	cell line	BJ	skin	epithelial	skin; foreskin	0
H. sapiens	cell line	BJ5ta	skin	epithelial	skin; foreskin	0
H. sapiens	primary cell	CD14+ macrophage	blood	myeloblast	blood; marrow	0
H. sapiens	primary cell	CD34+ erythroblast	blood	erythroblast	blood; marrow	0
H. sapiens	primary cell	CD4+ T cell	blood	lymphoblast	blood; marrow	0
H. sapiens	cell line	CUTLL1	blood	lymphoblast	blood; T-cell non-Hodgkin lymphoma	1
H. sapiens	cell line	Daudi	blood	lymphoblast	blood; Burkitts Lymphoma	1
