TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	799084.5	790211.9	808691.8
2000000.0	1556873.0	1539770.1	1575410.5
3000000.0	2290863.5	2265966.9	2317915.8
4000000.0	3005478.5	2973137.5	3040692.7
5000000.0	3703267.5	3663779.9	3746368.2
6000000.0	4385990.5	4339624.1	4436705.5
7000000.0	5054963.5	5001960.2	5113042.7
8000000.0	5711240.5	5651818.6	5776449.5
9000000.0	6355685.0	6290050.7	6427808.7
10000000.0	6989025.0	6917370.6	7067864.4
11000000.0	7611892.0	7534395.8	7697261.9
12000000.0	8224835.0	8141665.1	8316561.4
13000000.0	8828342.0	8739654.7	8926260.1
14000000.0	9422847.5	9328794.0	9526805.9
15000000.0	10008744.5	9909468.2	10118596.3
16000000.0	10586391.0	10482026.6	10701999.8
17000000.0	11156113.5	11046788.6	11277346.3
18000000.0	11718210.0	11604048.2	11844944.1
19000000.0	12272957.0	12154077.9	12405074.3
20000000.0	12820613.0	12697129.8	12957995.5
21000000.0	13361414.9	13233435.4	13503956.3
22000000.0	13895587.1	13763216.8	14043180.8
23000000.0	14423337.1	14286677.1	14575881.3
24000000.0	14944860.8	14804008.7	15102257.0
25000000.0	15460342.5	15315392.6	15622495.3
26000000.0	15969956.0	15820999.4	16136772.5
27000000.0	16473865.7	16320990.7	16645254.8
28000000.0	16972227.4	16815519.0	17148107.2
29000000.0	17465188.9	17304728.9	17645460.5
30000000.0	17952890.5	17788757.0	18137494.4
31000000.0	18435466.0	18267729.1	18624296.0
32000000.0	18913042.9	18741682.3	19106022.5
33000000.0	19385742.8	19211128.0	19582792.3
34000000.0	19853682.1	19675666.5	20054721.9
35000000.0	20316972.0	20135645.4	20521923.4
36000000.0	20775719.3	20591151.9	20984503.8
37000000.0	21230026.2	21042283.3	21442565.8
38000000.0	21679990.8	21489134.7	21896208.0
39000000.0	22125707.5	21931798.0	22345524.7
40000000.0	22567267.0	22370361.5	22790712.3
41000000.0	23004756.7	22804910.2	23231823.7
42000000.0	23438260.7	23235526.0	23668899.6
43000000.0	23867860.0	23662287.8	24102022.9
44000000.0	24293633.0	24085271.6	24531273.7
45000000.0	24715655.0	24504550.7	24956729.4
46000000.0	25133999.2	24920195.9	25378464.7
47000000.0	25548736.0	25332275.5	25796551.8
48000000.0	25959933.6	25740855.7	26211060.6
49000000.0	26367658.1	26146000.2	26622058.8
50000000.0	26771973.3	26547770.9	27029611.9
51000000.0	27172941.3	26946227.5	27433783.5
52000000.0	27570622.0	27341427.9	27834635.0
53000000.0	27965073.7	27733428.2	28232226.2
54000000.0	28356352.7	28122144.9	28626615.1
55000000.0	28744514.1	28506963.6	29017857.9
56000000.0	29129700.5	28888643.2	29406009.2
57000000.0	29512182.5	29267227.6	29791200.9
58000000.0	29891729.3	29642759.0	30173418.5
59000000.0	30268390.5	30015278.5	30552706.2
60000000.0	30642214.4	30384825.7	30929113.0
61000000.0	31012411.4	30751292.7	31301902.0
62000000.0	31379024.6	31114832.2	31670634.4
63000000.0	31743463.5	31475496.5	32036472.4
64000000.0	32101753.5	31833320.4	32399455.6
65000000.0	32459664.2	32188337.4	32759622.8
66000000.0	32814840.3	32540580.4	33117059.6
67000000.0	33167317.8	32890081.3	33471821.4
68000000.0	33517132.0	33236871.5	33823885.7
69000000.0	33864209.0	33580981.6	34173287.8
70000000.0	34209007.1	33922441.6	34520062.2
71000000.0	34551268.9	34261280.9	34864242.6
72000000.0	34891028.3	34601084.5	35205862.1
73000000.0	35225734.4	34938678.7	35545192.7
74000000.0	35560858.3	35273961.6	35883294.3
75000000.0	35893754.0	35606964.3	36219011.5
76000000.0	36225049.4	35937717.1	36552375.4
77000000.0	36555735.4	36266249.6	36883416.6
78000000.0	36884236.6	36592590.9	37212164.9
79000000.0	37210582.9	36909719.5	37538649.3
80000000.0	37534803.4	37216741.1	37862898.6
81000000.0	37856949.5	37519388.9	38184940.5
82000000.0	38177205.5	37832523.8	38504802.3
83000000.0	38495423.2	38148563.8	38822511.0
84000000.0	38811629.3	38462591.0	39138092.6
85000000.0	39123871.7	38774630.3	39451572.9
86000000.0	39433471.0	39079593.6	39762976.9
87000000.0	39741026.5	39381611.6	40072329.4
88000000.0	40046561.8	39681622.3	40379654.6
89000000.0	40350099.9	39979012.9	40684976.0
