total_reads	distinct_reads
0	0
1000000	822191
2000000	1.58958e+06
3000000	2.32468e+06
4000000	3.03433e+06
5000000	3.72254e+06
6000000	4.39204e+06
7000000	5.04483e+06
8000000	5.68251e+06
9000000	6.30634e+06
10000000	6.91735e+06
11000000	7.51646e+06
12000000	8.10441e+06
13000000	8.68186e+06
14000000	9.24941e+06
15000000	9.80758e+06
16000000	1.03568e+07
17000000	1.08976e+07
18000000	1.14302e+07
19000000	1.1955e+07
20000000	1.24724e+07
21000000	1.29826e+07
22000000	1.34859e+07
23000000	1.39826e+07
24000000	1.44728e+07
25000000	1.49569e+07
26000000	1.54349e+07
27000000	1.59072e+07
28000000	1.63738e+07
29000000	1.6835e+07
30000000	1.72909e+07
31000000	1.77416e+07
32000000	1.81873e+07
33000000	1.86282e+07
34000000	1.90643e+07
35000000	1.94958e+07
36000000	1.99228e+07
37000000	2.03454e+07
38000000	2.07637e+07
39000000	2.11778e+07
40000000	2.15878e+07
41000000	2.19939e+07
42000000	2.2396e+07
