TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	824664.5	818414.8	830140.5
2000000.0	1596992.0	1584872.9	1607405.9
3000000.0	2338495.5	2320914.6	2353594.5
4000000.0	3055535.5	3032738.1	3075034.1
5000000.0	3751726.5	3723961.5	3775425.3
6000000.0	4429555.5	4397043.1	4457287.5
7000000.0	5090889.5	5053821.7	5122494.8
8000000.0	5737174.0	5695732.8	5772515.7
9000000.0	6369593.0	6323941.8	6408546.3
10000000.0	6989128.5	6939419.3	7031570.4
11000000.0	7596614.5	7542982.1	7642436.5
12000000.0	8192769.5	8135350.0	8241870.2
13000000.0	8778230.0	8717142.9	8830513.2
14000000.0	9353554.5	9288908.1	9408924.2
15000000.0	9919233.5	9851145.9	9977610.2
16000000.0	10475724.5	10404289.5	10537017.9
17000000.0	11023425.0	10948743.2	11087561.9
18000000.0	11562713.5	11484873.2	11629612.3
19000000.0	12093919.5	12013014.4	12163514.3
20000000.0	12617361.5	12533469.4	12689582.8
21000000.0	13133321.5	13046526.4	13208107.1
22000000.0	13642067.0	13552449.1	13719353.3
23000000.0	14143850.5	14051491.2	14223575.2
24000000.0	14638900.0	14543869.2	14721007.9
25000000.0	15127431.0	15029797.9	15211864.2
26000000.0	15609648.5	15509479.9	15696356.7
27000000.0	16085742.0	15983101.0	16174673.9
28000000.0	16555895.0	16450840.1	16646995.4
29000000.0	17020273.5	16912865.0	17113498.6
30000000.0	17479041.0	17369332.6	17574342.1
31000000.0	17932346.5	17820395.6	18029679.4
32000000.0	18380337.0	18266197.1	18479659.4
33000000.0	18823151.0	18706869.1	18924417.7
34000000.0	19260916.5	19142545.1	19364087.9
35000000.0	19693759.5	19573346.6	19798795.8
36000000.0	20121799.0	19999391.6	20228662.1
37000000.0	20545151.0	20420792.1	20653800.2
38000000.0	20963918.5	20837655.1	21074321.7
39000000.0	21378213.0	21250085.5	21490330.5
40000000.0	21788129.5	21658181.1	21901927.7
