TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	917175.0	914135.1	919899.9
2000000.0	1791151.0	1785250.4	1796412.2
3000000.0	2637899.0	2629214.5	2645605.2
4000000.0	3462520.0	3451186.6	3472647.6
5000000.0	4268128.0	4254243.6	4280587.6
6000000.0	5056880.0	5040505.2	5071586.6
7000000.0	5830378.5	5811586.3	5847257.2
8000000.0	6589886.0	6568751.3	6608892.6
9000000.0	7336464.5	7313045.4	7357526.9
10000000.0	8070985.0	8045348.5	8094059.7
11000000.0	8794202.0	8766396.8	8819247.7
12000000.0	9506764.0	9476831.4	9533731.2
13000000.0	10209253.5	10177249.0	10238104.2
14000000.0	10902175.5	10868140.9	10932863.9
15000000.0	11585987.0	11549966.5	11618481.6
16000000.0	12261096.5	12223137.4	12295364.4
17000000.0	12927884.0	12888022.5	12963891.9
18000000.0	13586688.5	13544967.5	13624402.1
19000000.0	14237830.0	14194272.8	14277212.8
20000000.0	14881594.5	14836238.4	14922621.1
21000000.0	15518242.5	15471120.8	15560881.5
22000000.0	16148030.0	16099170.6	16192253.6
23000000.0	16771181.0	16720623.5	16816965.0
24000000.0	17387926.5	17335680.6	17435228.8
25000000.0	17998514.5	17944552.2	18047258.1
26000000.0	18603082.5	18547426.0	18653234.4
27000000.0	19201803.5	19144475.6	19253337.3
28000000.0	19794848.5	19735875.2	19847743.2
29000000.0	20382374.5	20321775.8	20436605.6
30000000.0	20964528.0	20902331.8	21020075.3
31000000.0	21541458.5	21477683.4	21598297.8
32000000.0	22113296.5	22047960.4	22171403.3
33000000.0	22680172.0	22613300.3	22739529.5
34000000.0	23242206.0	23173819.7	23302795.2
35000000.0	23799521.0	23729632.2	23861317.5
36000000.0	24352221.5	24280854.6	24415186.0
37000000.0	24900417.5	24827590.8	24964510.3
38000000.0	25444207.0	25369937.1	25509413.0
39000000.0	25983693.0	25907999.1	26049991.7
40000000.0	26518966.5	26441865.1	26586342.5
41000000.0	27050116.0	26971622.1	27118550.2
