TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	250397.5	249966.9	250826.1
2000000.0	317297.0	316679.9	317901.9
3000000.0	369101.0	368312.2	369945.2
4000000.0	414118.3	413163.5	415210.4
5000000.0	454672.2	453538.5	455937.3
6000000.0	491781.6	490519.7	493253.4
7000000.0	526234.9	524749.3	527833.8
8000000.0	558341.9	556558.1	560181.1
9000000.0	588504.1	586221.0	590724.0
10000000.0	616812.8	613133.4	619781.7
11000000.0	643231.3	638476.3	647479.7
12000000.0	668698.8	661453.4	674017.4
13000000.0	692960.8	682732.3	699284.8
14000000.0	715985.5	702343.2	723514.6
15000000.0	737859.8	720617.2	747060.0
16000000.0	758824.4	737596.7	769950.8
17000000.0	778822.4	753438.9	792146.5
18000000.0	798121.6	767316.6	814060.3
19000000.0	816486.7	781131.9	835672.7
20000000.0	834185.0	794357.3	856395.3
21000000.0	851268.0	806909.2	876128.9
22000000.0	867726.0	818843.0	895403.3
23000000.0	883644.4	830205.7	914889.3
24000000.0	899135.3	841038.5	934012.7
25000000.0	914109.0	851378.0	952797.5
26000000.0	928593.2	861257.1	971265.1
27000000.0	942613.7	870705.7	989434.6
28000000.0	956193.9	879750.8	1007323.5
29000000.0	969355.8	888417.5	1024947.3
30000000.0	982041.5	896728.7	1042320.2
31000000.0	994413.9	904705.4	1059455.0
32000000.0	1006527.2	912367.2	1076363.5
33000000.0	1018205.1	919732.1	1093056.4
34000000.0	1029553.2	926031.0	1109543.4
35000000.0	1040586.0	931940.3	1125833.7
36000000.0	1051317.0	937584.6	1141935.6
37000000.0	1061758.8	942981.3	1157856.7
38000000.0	1071923.6	948088.6	1173604.2
39000000.0	1081822.5	952958.2	1189184.6
40000000.0	1091466.2	957624.3	1204604.2
41000000.0	1100864.8	962099.4	1219868.6
42000000.0	1110027.8	966395.2	1234983.1
43000000.0	1118964.1	970522.2	1249952.8
44000000.0	1127682.4	974490.4	1264485.7
45000000.0	1136190.7	978308.9	1278854.3
46000000.0	1144496.7	981986.1	1293072.8
47000000.0	1152607.7	986398.6	1307145.1
48000000.0	1160436.3	990752.6	1321074.9
49000000.0	1168061.8	994976.0	1334865.8
50000000.0	1175511.3	999074.5	1348521.0
51000000.0	1182790.8	1003053.6	1362043.8
52000000.0	1189906.1	1006918.3	1375437.3
53000000.0	1196863.0	1010673.6	1388704.3
54000000.0	1203666.5	1014324.1	1401847.5
55000000.0	1210321.9	1017874.0	1414869.7
56000000.0	1216821.7	1021327.6	1427773.3
57000000.0	1223181.3	1024688.5	1440560.8
58000000.0	1229406.7	1027952.2	1453234.4
59000000.0	1235502.1	1030724.9	1465796.5
60000000.0	1241471.8	1033423.1	1478249.1
61000000.0	1247319.4	1036049.6	1490594.3
62000000.0	1253048.9	1038607.5	1502834.0
63000000.0	1258682.7	1041099.4	1514970.3
64000000.0	1264287.2	1043527.9	1527004.9
65000000.0	1269695.9	1045895.4	1538939.6
66000000.0	1274999.7	1048204.3	1550776.1
67000000.0	1280201.7	1050456.8	1562516.1
68000000.0	1285304.8	1052648.7	1574161.2
69000000.0	1290314.2	1054747.2	1585712.9
70000000.0	1295277.9	1056796.0	1597172.8
71000000.0	1300150.5	1058797.0	1608542.2
72000000.0	1304934.6	1060751.7	1619822.7
73000000.0	1309632.6	1062661.9	1631015.6
74000000.0	1314246.7	1064529.1	1642122.1
75000000.0	1318779.3	1066354.6	1653143.7
76000000.0	1323232.5	1068140.0	1664081.6
77000000.0	1327608.4	1069886.5	1674936.9
78000000.0	1331908.9	1071595.5	1685711.0
79000000.0	1336136.0	1073268.1	1696404.8
80000000.0	1340291.7	1074905.5	1707019.7
81000000.0	1344377.6	1076508.8	1717556.6
82000000.0	1348395.6	1078079.1	1728016.7
83000000.0	1352347.3	1079617.4	1738401.0
84000000.0	1356234.4	1081124.7	1748710.5
85000000.0	1360058.4	1082602.0	1758946.2
86000000.0	1363821.0	1084050.1	1769109.1
87000000.0	1367523.4	1085469.8	1779200.2
88000000.0	1371167.3	1086862.1	1789220.3
89000000.0	1374753.9	1088227.8	1799170.3
90000000.0	1378284.7	1089567.5	1809051.3
91000000.0	1381760.9	1090882.0	1818864.0
92000000.0	1385183.7	1092172.1	1828815.1
93000000.0	1388554.5	1093438.5	1838723.7
94000000.0	1391874.4	1094681.7	1848569.3
95000000.0	1395144.5	1095902.4	1858352.5
96000000.0	1398365.9	1097101.2	1868074.0
97000000.0	1401539.8	1098278.8	1877734.6
98000000.0	1404667.1	1099435.6	1887335.0
99000000.0	1407749.0	1100572.3	1896875.7
100000000.0	1410786.4	1101689.3	1906357.5
101000000.0	1413780.2	1102787.2	1915780.9
102000000.0	1416731.4	1103866.4	1925146.7
103000000.0	1419640.8	1104927.5	1934455.4
104000000.0	1422509.5	1105970.8	1943707.7
105000000.0	1425338.1	1106996.9	1952904.1
106000000.0	1428127.7	1108006.1	1962045.2
107000000.0	1430878.9	1108998.9	1971131.7
108000000.0	1433592.5	1109975.7	1980163.9
109000000.0	1436269.4	1110936.8	1989142.6
110000000.0	1438910.2	1111882.7	1998068.3
111000000.0	1441515.8	1112813.7	2006941.4
112000000.0	1444086.7	1113730.1	2015762.6
113000000.0	1446623.7	1114632.3	2024532.3
114000000.0	1449127.4	1115520.6	2033251.0
115000000.0	1451598.6	1116395.4	2041919.3
116000000.0	1454037.7	1117256.9	2050537.6
117000000.0	1456445.6	1118105.5	2059106.4
118000000.0	1458822.7	1118941.4	2067626.3
119000000.0	1461169.6	1119740.7	2076097.6
120000000.0	1463486.9	1120500.8	2084520.8
121000000.0	1465775.2	1121249.7	2092896.4
122000000.0	1468035.1	1121987.6	2101224.9
123000000.0	1470266.9	1122714.9	2109506.6
124000000.0	1472471.3	1123431.6	2117742.1
125000000.0	1474648.8	1124138.0	2125931.6
126000000.0	1476799.9	1124834.4	2134075.8
127000000.0	1478924.9	1125521.0	2142174.9
128000000.0	1481024.5	1126198.0	2150229.4
129000000.0	1483099.0	1126865.5	2158239.7
130000000.0	1485149.0	1127523.8	2166206.2
131000000.0	1487174.8	1128173.0	2174129.3
132000000.0	1489176.8	1128813.5	2182009.3
133000000.0	1491155.5	1129445.2	2189846.7
134000000.0	1493111.3	1130068.4	2197641.9
135000000.0	1495044.6	1130683.3	2205395.1
136000000.0	1496955.8	1131290.1	2213106.8
137000000.0	1498845.2	1131888.9	2220777.3
138000000.0	1500713.3	1132479.8	2228407.1
139000000.0	1502560.3	1133063.0	2235996.3
140000000.0	1504386.6	1133638.7	2243545.5
141000000.0	1506192.6	1134207.0	2251054.8
142000000.0	1507978.7	1134768.1	2258524.8
143000000.0	1509745.1	1135322.0	2265955.6
144000000.0	1511492.1	1135869.0	2273347.7
145000000.0	1513220.2	1136409.1	2280701.4
146000000.0	1514929.5	1136942.5	2288016.9
147000000.0	1516620.5	1137469.3	2295294.6
