TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	644131.0	637454.8	648308.4
2000000.0	1098229.5	1087506.0	1104752.2
3000000.0	1465580.0	1452100.7	1473706.9
4000000.0	1775001.5	1759606.5	1784237.4
5000000.0	2041295.5	2024573.9	2051305.8
6000000.0	2273615.5	2256043.8	2284199.3
7000000.0	2478338.5	2460244.0	2489301.9
8000000.0	2660112.5	2641729.7	2671291.0
9000000.0	2822503.5	2803990.1	2833757.5
10000000.0	2968286.0	2949790.4	2979544.0
11000000.0	3099726.5	3081357.2	3110917.2
12000000.0	3218683.5	3200522.4	3229751.7
13000000.0	3326705.0	3308815.0	3337611.7
14000000.0	3425102.0	3407529.0	3435811.8
15000000.0	3514987.0	3497761.4	3525476.1
16000000.0	3597308.0	3580456.3	3607561.4
17000000.0	3672894.0	3656426.8	3682898.7
18000000.0	3742456.0	3726379.9	3752207.4
19000000.0	3806608.0	3790938.0	3816113.5
20000000.0	3865910.0	3850643.5	3875165.2
21000000.0	3920840.5	3905970.5	3929847.7
22000000.0	3971827.0	3957344.0	3980590.7
23000000.0	4019241.5	4005135.0	4027765.1
24000000.0	4063422.5	4049681.6	4071709.5
25000000.0	4104665.5	4091275.0	4112725.2
26000000.0	4143234.5	4130182.0	4151080.0
27000000.0	4179369.0	4166639.3	4187006.3
28000000.0	4213281.5	4200856.6	4220716.5
29000000.0	4245161.5	4233029.5	4252399.8
30000000.0	4275183.0	4263328.2	4282230.4
31000000.0	4303495.0	4291905.8	4310364.1
32000000.0	4330243.0	4318901.5	4336936.2
33000000.0	4355551.0	4344446.6	4362075.4
34000000.0	4379518.0	4368650.2	4385895.5
35000000.0	4402261.5	4391620.8	4408498.2
36000000.0	4423877.5	4413449.3	4429979.3
37000000.0	4444451.0	4434224.2	4450422.4
38000000.0	4464060.0	4454022.1	4469905.6
39000000.0	4482780.0	4472914.4	4488500.3
40000000.0	4500679.0	4490967.3	4506268.5
41000000.0	4517805.3	4508238.1	4523270.7
42000000.0	4534216.2	4524783.2	4539561.4
43000000.0	4549959.5	4540652.7	4555188.7
44000000.0	4565080.6	4555891.5	4570197.8
45000000.0	4579621.1	4570541.6	4584629.9
46000000.0	4593619.3	4584641.5	4598523.5
47000000.0	4607101.4	4598226.8	4611912.9
48000000.0	4620092.0	4611330.0	4624830.4
49000000.0	4632637.7	4623981.3	4637305.4
50000000.0	4644766.1	4636208.6	4649365.3
51000000.0	4656506.6	4648037.4	4661035.3
52000000.0	4667888.2	4659491.6	4672338.8
53000000.0	4678922.6	4670612.1	4683302.0
54000000.0	4689630.3	4681403.3	4693949.6
55000000.0	4700029.9	4691882.1	4704291.3
56000000.0	4710139.1	4702068.6	4714345.4
57000000.0	4719974.1	4711988.5	4724127.1
58000000.0	4729550.4	4721644.9	4733651.0
59000000.0	4738882.0	4731052.2	4742931.0
60000000.0	4747982.1	4740223.6	4752008.6
61000000.0	4756858.9	4749171.6	4760883.1
62000000.0	4765528.2	4757907.9	4769552.5
63000000.0	4774010.5	4766443.3	4778030.0
64000000.0	4782298.3	4774788.1	4786323.0
65000000.0	4790360.5	4782951.9	4794413.1
