TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	863485.0	861921.4	865251.9
2000000.0	1678855.0	1675709.2	1682458.8
3000000.0	2475818.0	2471174.8	2481168.3
4000000.0	3258832.5	3252721.4	3265857.6
5000000.0	4029964.0	4022418.0	4038603.6
6000000.0	4790482.0	4781535.8	4800688.9
7000000.0	5541308.5	5530978.8	5553026.5
8000000.0	6283126.5	6271439.6	6296312.0
9000000.0	7016493.5	7003476.2	7031113.6
10000000.0	7741873.0	7727549.9	7757891.5
11000000.0	8459643.5	8444053.5	8477047.0
12000000.0	9170155.0	9153332.8	9188925.9
13000000.0	9873715.0	9855686.2	9893830.8
14000000.0	10570599.5	10551387.3	10592034.2
15000000.0	11261057.0	11240674.9	11283781.9
16000000.0	11945303.0	11923775.2	11969296.7
17000000.0	12623541.0	12600886.5	12648781.4
18000000.0	13295960.0	13272194.1	13322423.7
19000000.0	13962731.0	13937870.7	13990398.8
20000000.0	14624015.0	14598077.0	14652909.2
21000000.0	15279961.5	15252958.3	15310069.1
22000000.0	15930712.0	15902656.4	15962017.9
23000000.0	16576394.5	16547304.1	16608882.0
24000000.0	17217135.5	17187023.9	17250790.0
25000000.0	17853051.0	17821928.7	17887855.9
26000000.0	18484252.5	18452133.9	18520194.7
27000000.0	19110846.5	19077742.0	19147908.9
28000000.0	19732931.0	19698851.5	19771099.0
29000000.0	20350598.5	20315559.5	20389861.5
30000000.0	20963931.0	20927953.3	21004287.0
31000000.0	21573018.0	21536121.6	21614460.9
32000000.0	22177947.5	22140144.2	22220468.7
33000000.0	22778802.0	22740102.8	22822388.4
34000000.0	23375655.5	23336073.3	23420296.7
35000000.0	23968579.5	23928125.3	24014267.4
36000000.0	24557645.5	24516331.1	24604369.4
37000000.0	25142922.5	25100758.8	25190673.4
38000000.0	25724474.1	25681449.3	25773243.2
39000000.0	26302363.2	26258475.4	26352141.9
40000000.0	26876650.0	26831909.5	26927430.2
41000000.0	27447393.1	27401809.9	27499166.9
42000000.0	28014648.8	27968232.9	28067408.8
43000000.0	28578434.6	28531232.8	28632210.9
44000000.0	29138869.2	29090862.3	29193626.3
45000000.0	29695980.2	29647172.5	29751706.6
46000000.0	30249813.8	30200212.6	30306501.7
47000000.0	30800418.1	30750030.7	30858060.2
48000000.0	31347839.9	31296673.2	31406429.1
49000000.0	31892124.7	31840185.3	31951654.1
50000000.0	32433316.5	32380610.7	32493779.7
51000000.0	32971458.4	32917992.0	33032849.2
52000000.0	33506592.1	33452370.7	33568904.7
53000000.0	34038758.2	33983787.1	34101987.2
54000000.0	34568030.6	34512280.5	34632140.9
55000000.0	35094457.0	35037889.0	35159400.5
56000000.0	35617994.9	35560641.2	35683804.0
57000000.0	36138710.3	36080582.5	36205388.5
58000000.0	36656644.3	36597749.3	36724190.2
59000000.0	37171831.7	37112176.7	37240244.6
60000000.0	37684306.5	37623898.9	37753586.1
61000000.0	38194102.0	38132876.4	38264248.7
62000000.0	38701250.6	38639202.3	38772265.4
63000000.0	39205783.9	39142915.9	39277668.5
64000000.0	39707733.1	39644048.3	39780489.5
65000000.0	40207128.3	40142629.7	40280759.1
66000000.0	40703998.8	40638689.7	40778507.2
67000000.0	41198373.1	41132257.0	41273763.0
68000000.0	41690278.1	41623359.3	41766554.4
69000000.0	42179739.6	42112023.6	42256908.4
70000000.0	42666781.0	42598275.7	42744851.0
71000000.0	43151424.2	43082140.5	43230406.9
72000000.0	43633689.2	43563641.5	43713599.4
