TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	569880.5	564560.4	575349.5
2000000.0	1083550.5	1073106.4	1094237.3
3000000.0	1582932.0	1567388.2	1598483.0
4000000.0	2072149.0	2051707.5	2092445.2
5000000.0	2552934.0	2527756.2	2577858.7
6000000.0	3026249.0	2996472.5	3055681.2
7000000.0	3492715.5	3458466.6	3526535.4
8000000.0	3952774.5	3914172.6	3990875.3
9000000.0	4406779.0	4363934.9	4449054.4
10000000.0	4855005.5	4808028.5	4901354.8
11000000.0	5297692.5	5246686.3	5348022.5
12000000.0	5735046.5	5680106.8	5789262.6
13000000.0	6167244.0	6108468.7	6225261.0
14000000.0	6594447.5	6531931.5	6656180.8
15000000.0	7016802.3	6950638.6	7082169.6
16000000.0	7434443.2	7364723.4	7503366.0
17000000.0	7847491.7	7774305.6	7919893.8
18000000.0	8256061.7	8179497.6	8331869.5
19000000.0	8660241.4	8580404.5	8739401.7
20000000.0	9060129.0	8977125.2	9142592.1
21000000.0	9455841.9	9369752.7	9541536.8
22000000.0	9847470.1	9758374.8	9936326.5
23000000.0	10235098.7	10143074.5	10327047.1
24000000.0	10618809.4	10523929.0	10713780.3
25000000.0	10998679.8	10901004.6	11096603.8
26000000.0	11374785.0	11274273.8	11475591.9
27000000.0	11747199.6	11644409.8	11850815.7
28000000.0	12115937.8	12010535.8	12222343.2
29000000.0	12481188.6	12373236.9	12590239.8
30000000.0	12842918.1	12732503.2	12954568.5
31000000.0	13201197.3	13088376.1	13315389.8
32000000.0	13556030.7	13440898.6	13672762.3
33000000.0	13907622.4	13790113.5	14026742.5
34000000.0	14256048.0	14136065.1	14377385.2
35000000.0	14601238.8	14478801.1	14724743.4
36000000.0	14943194.2	14818373.7	15068868.4
37000000.0	15281825.8	15154832.2	15409810.0
38000000.0	15617374.3	15488210.4	15747616.6
39000000.0	15949886.8	15818590.0	16082335.3
40000000.0	16279408.9	16146025.5	16414011.6
41000000.0	16605985.2	16470567.5	16742690.1
42000000.0	16929659.1	16792263.4	17068414.1
43000000.0	17250472.9	17111157.2	17391225.8
44000000.0	17568467.8	17427290.8	17711166.2
45000000.0	17883684.2	17740703.7	18028275.5
46000000.0	18196198.5	18051434.2	18342692.6
47000000.0	18506112.7	18359519.1	18654553.4
48000000.0	18813370.0	18664994.4	18963717.9
49000000.0	19118007.0	18967895.0	19270223.3
50000000.0	19420037.6	19268255.2	19574106.0
51000000.0	19719276.9	19566108.5	19875401.8
52000000.0	20015763.1	19861487.8	20174145.5
53000000.0	20309848.8	20154425.3	20470371.2
54000000.0	20601504.7	20444952.6	20764112.5
55000000.0	20890831.7	20733100.9	21055402.0
56000000.0	21177827.1	21018900.5	21344272.0
57000000.0	21462457.8	21300601.1	21630753.9
58000000.0	21744870.7	21579765.0	21914895.2
59000000.0	22025037.0	21856688.4	22196713.2
60000000.0	22302935.2	22131834.6	22476234.1
61000000.0	22579159.7	22404784.8	22753487.2
62000000.0	22853298.4	22675500.6	23028501.1
63000000.0	23125356.8	22945974.6	23301303.7
64000000.0	23395084.2	23214454.9	23571922.6
65000000.0	23662714.0	23480852.9	23840384.9
66000000.0	23928272.6	23745194.0	24106717.1
67000000.0	24191785.9	24007502.8	24370945.3
68000000.0	24453279.5	24267804.0	24633095.1
69000000.0	24712778.3	24526121.4	24893191.6
70000000.0	24969707.2	24782478.5	25151259.7
71000000.0	25224418.3	25036898.6	25407323.6
72000000.0	25477172.4	25289404.4	25661407.2
73000000.0	25728462.1	25540018.3	25913534.0
74000000.0	25977847.8	25788762.1	26164054.2
75000000.0	26225351.7	26035657.7	26412889.3
76000000.0	26470995.8	26280724.8	26659850.1
77000000.0	26714801.4	26523981.7	26904958.6
78000000.0	26956789.8	26765452.9	27148236.1
79000000.0	27196762.5	27005158.8	27389703.7
80000000.0	27434532.4	27243119.2	27629382.1
81000000.0	27670538.1	27479353.8	27867291.7
82000000.0	27904799.4	27713881.7	28103452.6
83000000.0	28137516.9	27946722.0	28337910.4
84000000.0	28368846.1	28175476.4	28570679.3
85000000.0	28598553.5	28401272.4	28801759.1
86000000.0	28827039.9	28625374.1	29032226.2
87000000.0	29053891.4	28847801.0	29261225.7
88000000.0	29278412.8	29068572.8	29488659.4
89000000.0	29501018.2	29287708.4	29714486.9
90000000.0	29722019.6	29507806.3	29938725.7
91000000.0	29941434.4	29726822.4	30161393.1
92000000.0	30159596.4	29944298.8	30382506.0
93000000.0	30376876.2	30160252.1	30602081.0
94000000.0	30592639.9	30374698.4	30820134.5
95000000.0	30806903.5	30587653.7	31036682.8
96000000.0	31019682.9	30799133.7	31251741.7
97000000.0	31230993.8	31009148.8	31465327.0
98000000.0	31440929.4	31217099.3	31677454.1
99000000.0	31649876.9	31423611.8	31888138.3
100000000.0	31857312.2	31628701.5	32097394.6
101000000.0	32062315.4	31832383.1	32305237.9
102000000.0	32266052.6	32034671.1	32511682.6
103000000.0	32468868.7	32235580.1	32715318.4
104000000.0	32670319.6	32435124.1	32917411.7
105000000.0	32870419.3	32633317.3	33118140.0
106000000.0	33069181.7	32830173.3	33317517.3
107000000.0	33266620.2	33025705.8	33515557.3
108000000.0	33462748.3	33219928.2	33712273.8
109000000.0	33657638.9	33412853.7	33907680.1
110000000.0	33851948.4	33604495.4	34101789.5
111000000.0	34044996.7	33794866.2	34294615.1
112000000.0	34236747.9	33983978.8	34486169.7
113000000.0	34425851.8	34171845.6	34676466.1
114000000.0	34613264.6	34358479.1	34865516.7
115000000.0	34799540.0	34543891.5	35053333.9
116000000.0	34985175.3	34728094.7	35239930.0
117000000.0	35167837.7	34911100.7	35425383.9
118000000.0	35350722.5	35092921.2	35609664.8
119000000.0	35532494.7	35273567.7	35792761.0
120000000.0	35713097.6	35453051.6	35974684.0
121000000.0	35892542.7	35631384.3	36156279.3
122000000.0	36070841.0	35808576.7	36337543.9
123000000.0	36248555.7	35984640.0	36517680.6
124000000.0	36425301.1	36159584.8	36696700.2
125000000.0	36600936.6	36333422.0	36874613.2
126000000.0	36775472.8	36506161.9	37051482.9
127000000.0	36948911.1	36677815.2	37227295.3
128000000.0	37120722.2	36848391.9	37402032.3
129000000.0	37291461.6	37017902.4	37575703.8
130000000.0	37461139.3	37186356.5	37748501.8
131000000.0	37629765.2	37353764.3	37921452.4
132000000.0	37797349.2	37520135.4	38093373.2
133000000.0	37963602.0	37685479.5	38264273.5
134000000.0	38128830.0	37849806.2	38434162.5
135000000.0	38293042.7	38013124.8	38603049.2
136000000.0	38457004.6	38175444.7	38770958.0
137000000.0	38619755.7	38336775.0	38937931.0
138000000.0	38781506.7	38497124.8	39103928.5
139000000.0	38942061.8	38656503.0	39268959.2
140000000.0	39101649.2	38814918.5	39433031.6
141000000.0	39260277.7	38972380.0	39596154.1
142000000.0	39417955.9	39128896.1	39758335.0
143000000.0	39574692.4	39284475.4	39919582.6
144000000.0	39730495.6	39439126.3	40079904.9
145000000.0	39885374.0	39592857.1	40239309.9
146000000.0	40039335.7	39745676.0	40397805.7
147000000.0	40192388.9	39897591.1	40555400.0
148000000.0	40344541.8	40048610.5	40712100.6
149000000.0	40495802.1	40198742.1	40867915.1
150000000.0	40646669.5	40347993.8	41022851.1
151000000.0	40796717.0	40496373.2	41176916.1
152000000.0	40945897.1	40643888.0	41330117.5
153000000.0	41094217.4	40790545.8	41482462.5
154000000.0	41241685.3	40934437.2	41633958.5
155000000.0	41388308.2	41075848.1	41784612.5
156000000.0	41533486.8	41216393.4	41934431.6
157000000.0	41677615.5	41356080.8	42083422.8
158000000.0	41820917.9	41494917.8	42231593.0
159000000.0	41963401.2	41632911.7	42379898.7
160000000.0	42105072.3	41770070.1	42527870.7
161000000.0	42245938.4	41906400.0	42675058.8
162000000.0	42386006.1	42041908.8	42821469.3
163000000.0	42525282.4	42176603.5	42967108.8
164000000.0	42663773.8	42310491.1	43111983.5
165000000.0	42801487.2	42443578.6	43256049.8
166000000.0	42938428.9	42575722.5	43398360.8
167000000.0	43074605.5	42706847.1	43539921.4
168000000.0	43210023.5	42837189.1	43680737.9
169000000.0	43344689.1	42966755.2	43820816.2
170000000.0	43478608.6	43095552.2	43960224.1
171000000.0	43611788.3	43223586.5	44099046.2
172000000.0	43744234.2	43350864.6	44237149.9
173000000.0	43875952.5	43477393.0	44374541.1
174000000.0	44006949.1	43603177.8	44511225.4
175000000.0	44136501.7	43728225.5	44646503.2
176000000.0	44265289.6	43852542.2	44780659.4
177000000.0	44393372.2	43976134.1	44914109.4
178000000.0	44520755.1	44099007.1	45046858.9
179000000.0	44647444.2	44221167.4	45178913.3
180000000.0	44773445.2	44342620.9	45310278.1
181000000.0	44898763.5	44463373.4	45440958.8
182000000.0	45023404.8	44583430.7	45570960.7
183000000.0	45147374.5	44702798.6	45700289.1
184000000.0	45270678.1	44821482.9	45828949.2
185000000.0	45393320.9	44939489.0	45956946.3
186000000.0	45515308.3	45056822.7	46084285.4
187000000.0	45637065.9	45173489.4	46211362.0
188000000.0	45758326.4	45289494.6	46339333.8
189000000.0	45878948.3	45404843.6	46466678.9
190000000.0	45998936.6	45519541.9	46593402.0
191000000.0	46118296.4	45633594.7	46719507.9
192000000.0	46237032.6	45747007.2	46845001.2
193000000.0	46355150.0	45859784.6	46969886.5
194000000.0	46472653.6	45971932.1	47094168.5
195000000.0	46589548.0	46083454.8	47217851.5
196000000.0	46705838.0	46194357.5	47340940.2
197000000.0	46821528.4	46304645.4	47463438.9
198000000.0	46936623.7	46414323.3	47585352.0
199000000.0	47051128.5	46523396.1	47706683.9
200000000.0	47165047.5	46631868.7	47827438.7
201000000.0	47278385.0	46739745.7	47947620.9
202000000.0	47391145.5	46847032.0	48067234.6
203000000.0	47503333.4	46953732.1	48186284.0
204000000.0	47614953.2	47059850.7	48304773.1
205000000.0	47726830.7	47165392.5	48422706.2
206000000.0	47838658.4	47270361.9	48540087.1
207000000.0	47949931.3	47374763.3	48656920.0
208000000.0	48060653.6	47478601.4	48773299.9
209000000.0	48170829.4	47581880.4	48889174.7
210000000.0	48280257.1	47684634.8	49004514.4
211000000.0	48388224.8	47790516.0	49119323.0
212000000.0	48495657.7	47895868.1	49233604.2
213000000.0	48602559.7	48000695.1	49347361.8
214000000.0	48708934.8	48105001.0	49460599.4
215000000.0	48814786.9	48208789.5	49570972.6
216000000.0	48920119.9	48312064.5	49680604.7
217000000.0	49024770.2	48414829.9	49789716.2
218000000.0	49128658.2	48517089.3	49898310.7
219000000.0	49232038.1	48618846.6	50006392.0
220000000.0	49334913.7	48720105.4	50113963.7
221000000.0	49437288.6	48820869.5	50221029.5
222000000.0	49539166.4	48921142.3	50327592.8
