TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	552136.5	545294.8	558006.6
2000000.0	1048083.0	1035159.1	1059352.3
3000000.0	1530067.5	1511363.1	1546673.2
4000000.0	2002614.0	1978284.3	2024438.2
5000000.0	2467488.0	2437683.3	2494441.5
6000000.0	2925697.0	2890543.2	2957683.4
7000000.0	3377890.0	3337505.3	3414812.6
8000000.0	3824538.0	3779031.9	3866309.2
9000000.0	4266004.5	4215475.1	4312536.5
10000000.0	4702583.5	4647119.6	4753790.8
11000000.0	5134516.0	5074206.5	5190316.3
12000000.0	5562012.5	5496934.8	5622324.4
13000000.0	5985253.0	5915483.8	6049993.3
14000000.0	6404391.0	6330008.0	6473490.0
15000000.0	6819572.0	6740644.7	6892954.1
16000000.0	7230920.0	7147519.5	7308516.1
17000000.0	7638554.0	7550746.8	7720296.0
18000000.0	8042577.0	7950430.2	8128401.8
19000000.0	8443090.5	8346667.4	8532931.4
20000000.0	8840183.5	8739546.0	8933978.4
21000000.0	9233948.5	9129132.7	9331629.8
22000000.0	9624459.0	9515514.1	9725967.1
23000000.0	10011791.5	9898772.3	10117066.2
24000000.0	10396013.0	10278973.3	10504997.8
25000000.0	10777195.5	10656187.4	10889830.6
26000000.0	11155396.5	11030472.9	11271629.0
27000000.0	11530679.0	11401890.6	11650454.2
28000000.0	11903098.0	11770493.8	12026363.2
29000000.0	12272710.0	12136337.9	12399411.7
30000000.0	12639563.5	12499473.2	12769653.1
31000000.0	13003711.5	12859946.6	13137138.9
32000000.0	13365199.5	13217807.3	13501916.5
33000000.0	13724074.1	13573098.2	13864032.1
34000000.0	14080380.5	13925862.6	14223533.4
35000000.0	14434160.0	14276143.7	14580462.1
36000000.0	14785453.3	14623980.2	14934859.9
37000000.0	15134299.9	14969410.6	15286767.1
38000000.0	15480737.9	15312472.1	15636222.5
39000000.0	15824803.9	15653200.7	15983263.9
40000000.0	16166533.7	15991631.2	16327927.5
41000000.0	16505961.7	16327797.2	16670248.7
42000000.0	16843121.2	16661731.4	17010261.5
43000000.0	17178044.6	16993465.3	17347999.2
44000000.0	17510763.5	17323029.7	17683493.7
45000000.0	17841308.4	17650454.3	18016776.3
46000000.0	18169708.8	17975768.1	18347877.3
47000000.0	18495993.7	18298999.3	18676825.7
48000000.0	18820191.1	18620175.1	19003649.2
49000000.0	19142328.3	18939322.1	19328367.7
50000000.0	19462431.9	19256466.3	19651119.8
51000000.0	19780527.8	19571632.7	19971691.5
52000000.0	20096641.2	19884845.9	20290293.1
53000000.0	20410795.5	20196129.7	20606908.2
54000000.0	20723019.3	20505507.4	20921558.9
55000000.0	21033330.7	20813001.6	21234268.8
56000000.0	21341754.8	21118634.2	21545061.0
57000000.0	21648313.7	21422426.8	21853958.6
58000000.0	21953029.4	21724400.1	22160983.7
59000000.0	22255923.1	22024574.5	22466158.5
60000000.0	22557015.7	22322969.7	22769504.4
61000000.0	22856327.6	22619604.9	23071042.3
62000000.0	23153878.7	22914498.8	23370792.8
63000000.0	23449688.5	23207669.4	23668776.1
64000000.0	23743776.3	23499134.4	23965011.8
65000000.0	24036160.6	23788910.9	24259519.3
66000000.0	24326764.5	24077015.3	24552317.5
67000000.0	24615592.0	24363463.8	24843425.0
68000000.0	24902758.0	24648272.0	25132859.9
69000000.0	25188279.2	24931454.7	25420640.1
70000000.0	25472171.5	25213026.7	25706783.1
71000000.0	25754450.9	25493002.0	25991306.0
72000000.0	26035132.9	25771394.1	26274225.8
73000000.0	26314232.6	26048216.1	26555558.9
74000000.0	26591764.9	26323480.8	26835321.5
75000000.0	26867744.4	26597200.2	27113529.7
76000000.0	27142185.3	26869386.1	27390199.0
77000000.0	27415361.3	27140049.8	27665344.9
78000000.0	27687060.3	27409202.1	27938982.5
79000000.0	27957280.4	27676853.5	28211126.6
