## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[SRR7458410.sorted.bam] OUTPUT=SRR7458410.marked_duplicates.bam METRICS_FILE=SRR7458410.marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 16 19:53:56 MST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	298811	1077714	1889789	1340415	114779	189752	0	0.2014	2689584

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.669851
3.0	2.118553
4.0	2.419116
5.0	2.620448
6.0	2.755311
7.0	2.84565
8.0	2.906163
9.0	2.946698
10.0	2.97385
11.0	2.992038
12.0	3.004221
13.0	3.012382
14.0	3.017849
15.0	3.021511
16.0	3.023964
17.0	3.025607
18.0	3.026707
19.0	3.027445
20.0	3.027938
21.0	3.028269
22.0	3.028491
23.0	3.028639
24.0	3.028739
25.0	3.028805
26.0	3.02885
27.0	3.02888
28.0	3.0289
29.0	3.028913
30.0	3.028922
31.0	3.028928
32.0	3.028932
33.0	3.028935
34.0	3.028937
35.0	3.028938
36.0	3.028939
37.0	3.028939
38.0	3.02894
39.0	3.02894
40.0	3.02894
41.0	3.02894
42.0	3.02894
43.0	3.02894
44.0	3.02894
45.0	3.02894
46.0	3.02894
47.0	3.02894
48.0	3.02894
49.0	3.02894
50.0	3.02894
51.0	3.02894
52.0	3.02894
53.0	3.02894
54.0	3.02894
55.0	3.02894
56.0	3.02894
57.0	3.02894
58.0	3.02894
59.0	3.02894
60.0	3.02894
61.0	3.02894
62.0	3.02894
63.0	3.02894
64.0	3.02894
65.0	3.02894
66.0	3.02894
67.0	3.02894
68.0	3.02894
69.0	3.02894
70.0	3.02894
71.0	3.02894
72.0	3.02894
73.0	3.02894
74.0	3.02894
75.0	3.02894
76.0	3.02894
77.0	3.02894
78.0	3.02894
79.0	3.02894
80.0	3.02894
81.0	3.02894
82.0	3.02894
83.0	3.02894
84.0	3.02894
85.0	3.02894
86.0	3.02894
87.0	3.02894
88.0	3.02894
89.0	3.02894
90.0	3.02894
91.0	3.02894
92.0	3.02894
93.0	3.02894
94.0	3.02894
95.0	3.02894
96.0	3.02894
97.0	3.02894
98.0	3.02894
99.0	3.02894
100.0	3.02894

