## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[SRR7458427.sorted.bam] OUTPUT=SRR7458427.marked_duplicates.bam METRICS_FILE=SRR7458427.marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 16 20:17:42 MST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1803306	6927380	12029823	10837494	959694	1734166	0	0.282795	11415244

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.545063
3.0	1.842157
4.0	2.004092
5.0	2.092357
6.0	2.140467
7.0	2.16669
8.0	2.180983
9.0	2.188774
10.0	2.19302
11.0	2.195335
12.0	2.196596
13.0	2.197284
14.0	2.197659
15.0	2.197863
16.0	2.197974
17.0	2.198035
18.0	2.198068
19.0	2.198086
20.0	2.198096
21.0	2.198101
22.0	2.198104
23.0	2.198106
24.0	2.198107
25.0	2.198107
26.0	2.198107
27.0	2.198108
28.0	2.198108
29.0	2.198108
30.0	2.198108
31.0	2.198108
32.0	2.198108
33.0	2.198108
34.0	2.198108
35.0	2.198108
36.0	2.198108
37.0	2.198108
38.0	2.198108
39.0	2.198108
40.0	2.198108
41.0	2.198108
42.0	2.198108
43.0	2.198108
44.0	2.198108
45.0	2.198108
46.0	2.198108
47.0	2.198108
48.0	2.198108
49.0	2.198108
50.0	2.198108
51.0	2.198108
52.0	2.198108
53.0	2.198108
54.0	2.198108
55.0	2.198108
56.0	2.198108
57.0	2.198108
58.0	2.198108
59.0	2.198108
60.0	2.198108
61.0	2.198108
62.0	2.198108
63.0	2.198108
64.0	2.198108
65.0	2.198108
66.0	2.198108
67.0	2.198108
68.0	2.198108
69.0	2.198108
70.0	2.198108
71.0	2.198108
72.0	2.198108
73.0	2.198108
74.0	2.198108
75.0	2.198108
76.0	2.198108
77.0	2.198108
78.0	2.198108
79.0	2.198108
80.0	2.198108
81.0	2.198108
82.0	2.198108
83.0	2.198108
84.0	2.198108
85.0	2.198108
86.0	2.198108
87.0	2.198108
88.0	2.198108
89.0	2.198108
90.0	2.198108
91.0	2.198108
92.0	2.198108
93.0	2.198108
94.0	2.198108
95.0	2.198108
96.0	2.198108
97.0	2.198108
98.0	2.198108
99.0	2.198108
100.0	2.198108

