## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[SRZ7458423.sorted.bam] OUTPUT=SRZ7458423.marked_duplicates.bam METRICS_FILE=SRZ7458423.marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Feb 18 20:57:03 MST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	2005658	9805403	17358673	12629030	981641	2159702	0	0.245232	18854050

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1
2.0	1.59448
3.0	1.947886
4.0	2.157978
5.0	2.282874
6.0	2.357122
7.0	2.401261
8.0	2.427501
9.0	2.4431
10.0	2.452373
11.0	2.457886
12.0	2.461163
13.0	2.463111
14.0	2.46427
15.0	2.464958
16.0	2.465367
17.0	2.465611
18.0	2.465755
19.0	2.465841
20.0	2.465893
21.0	2.465923
22.0	2.465941
23.0	2.465952
24.0	2.465958
25.0	2.465962
26.0	2.465964
27.0	2.465966
28.0	2.465966
29.0	2.465967
30.0	2.465967
31.0	2.465967
32.0	2.465967
33.0	2.465967
34.0	2.465967
35.0	2.465967
36.0	2.465967
37.0	2.465967
38.0	2.465967
39.0	2.465967
40.0	2.465967
41.0	2.465967
42.0	2.465967
43.0	2.465967
44.0	2.465967
45.0	2.465967
46.0	2.465967
47.0	2.465967
48.0	2.465967
49.0	2.465967
50.0	2.465967
51.0	2.465967
52.0	2.465967
53.0	2.465967
54.0	2.465967
55.0	2.465967
56.0	2.465967
57.0	2.465967
58.0	2.465967
59.0	2.465967
60.0	2.465967
61.0	2.465967
62.0	2.465967
63.0	2.465967
64.0	2.465967
65.0	2.465967
66.0	2.465967
67.0	2.465967
68.0	2.465967
69.0	2.465967
70.0	2.465967
71.0	2.465967
72.0	2.465967
73.0	2.465967
74.0	2.465967
75.0	2.465967
76.0	2.465967
77.0	2.465967
78.0	2.465967
79.0	2.465967
80.0	2.465967
81.0	2.465967
82.0	2.465967
83.0	2.465967
84.0	2.465967
85.0	2.465967
86.0	2.465967
87.0	2.465967
88.0	2.465967
89.0	2.465967
90.0	2.465967
91.0	2.465967
92.0	2.465967
93.0	2.465967
94.0	2.465967
95.0	2.465967
96.0	2.465967
97.0	2.465967
98.0	2.465967
99.0	2.465967
100.0	2.465967

