TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	659315.0	650428.6	667770.1
2000000.0	1143117.0	1128399.8	1157130.9
3000000.0	1556154.5	1536706.0	1574692.5
4000000.0	1925299.5	1901782.2	1947777.9
5000000.0	2263245.5	2236094.9	2289231.8
6000000.0	2577275.0	2546826.8	2606457.5
7000000.0	2872068.0	2838608.3	2904212.3
8000000.0	3150835.0	3114646.9	3185795.3
9000000.0	3415992.5	3377279.5	3453613.4
10000000.0	3669346.0	3628285.5	3709488.5
11000000.0	3912308.5	3869051.3	3954844.9
12000000.0	4146005.5	4100686.9	4190827.3
13000000.0	4371439.5	4324105.2	4418364.0
14000000.0	4589327.5	4540056.7	4638236.8
15000000.0	4800187.6	4749177.3	4851095.0
16000000.0	5004665.9	4952013.1	5057501.0
17000000.0	5203244.2	5149029.5	5257935.1
18000000.0	5396337.4	5340633.5	5452817.3
19000000.0	5584310.3	5527182.5	5642516.9
20000000.0	5767486.2	5708970.6	5827361.0
21000000.0	5946154.0	5886286.5	6007642.1
22000000.0	6120573.3	6059398.1	6183623.1
23000000.0	6290978.8	6228533.1	6355542.8
24000000.0	6457582.9	6393897.9	6523619.1
25000000.0	6620577.3	6555679.8	6688053.2
26000000.0	6780133.7	6714049.9	6849030.9
27000000.0	6936302.6	6869164.5	7006724.9
28000000.0	7089310.9	7021166.4	7161293.6
29000000.0	7239282.8	7170187.3	7312879.8
30000000.0	7386330.1	7316348.3	7461608.0
31000000.0	7530556.3	7459754.6	7607583.1
32000000.0	7672059.3	7600196.2	7750892.9
33000000.0	7810777.5	7737890.2	7891588.9
34000000.0	7946580.3	7872893.8	8029438.2
35000000.0	8080761.7	8005300.6	8164878.1
36000000.0	8212244.8	8135247.5	8297991.8
37000000.0	8341874.8	8262794.5	8428857.5
38000000.0	8469591.0	8388186.6	8557549.2
39000000.0	8594770.2	8511564.4	8684136.8
40000000.0	8717672.5	8633006.7	8808686.7
41000000.0	8838776.3	8751738.0	8931261.5
42000000.0	8958007.2	8868715.1	9051921.0
43000000.0	9074765.6	8984137.9	9170721.8
44000000.0	9189924.1	9098255.5	9287717.9
45000000.0	9303378.1	9210652.9	9402960.7
46000000.0	9415203.4	9321368.4	9516499.1
47000000.0	9524655.6	9430440.4	9628428.2
48000000.0	9633549.0	9537906.6	9738759.0
49000000.0	9741123.3	9643804.5	9847523.3
50000000.0	9846718.1	9748150.0	9954762.0
51000000.0	9950817.1	9850962.5	10060514.3
52000000.0	10053457.9	9952313.2	10164380.0
53000000.0	10154676.4	10052055.7	10266603.5
54000000.0	10254460.8	10150041.7	10367414.9
55000000.0	10351958.0	10246657.3	10466847.4
56000000.0	10449315.1	10341933.2	10564932.9
57000000.0	10546691.2	10435898.9	10661702.3
58000000.0	10642388.2	10528583.1	10757416.3
59000000.0	10735669.7	10620013.8	10852427.5
60000000.0	10828086.7	10710218.0	10946238.7
61000000.0	10920658.5	10799222.1	11038876.4
62000000.0	11010735.6	10887051.5	11130365.9
63000000.0	11099804.9	10973730.9	11220731.6
64000000.0	11187791.8	11060033.8	11310321.5
65000000.0	11274360.9	11145293.2	11399656.5
66000000.0	11359527.0	11229487.5	11488928.2
67000000.0	11444085.3	11312589.4	11577239.7
68000000.0	11526799.1	11394643.7	11664611.5
69000000.0	11608368.9	11475694.2	11751063.4
70000000.0	11688940.8	11555132.2	11836614.6
71000000.0	11769150.5	11633594.2	11921283.9
72000000.0	11849890.8	11711101.5	12005089.1
73000000.0	11929480.1	11787672.6	12087944.5
