TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	757373.0	741597.9	774156.5
2000000.0	1443113.5	1413469.6	1475137.9
3000000.0	2098614.5	2055758.1	2145112.4
4000000.0	2733868.0	2678260.2	2794328.9
5000000.0	3353593.5	3285599.5	3427607.8
6000000.0	3960569.5	3880495.5	4047793.1
7000000.0	4556629.5	4464744.1	4656756.8
8000000.0	5143087.5	5039631.6	5255843.3
9000000.0	5720931.5	5606125.0	5846063.7
10000000.0	6290933.5	6164979.4	6428211.4
11000000.0	6853716.5	6716802.7	7002921.1
12000000.0	7409793.5	7262099.7	7570725.3
13000000.0	7959598.2	7801407.3	8132064.6
14000000.0	8503499.6	8334980.2	8687319.8
15000000.0	9041816.4	8863121.2	9236818.3
16000000.0	9574828.0	9386100.5	9780847.6
17000000.0	10102781.7	9904156.5	10319662.3
18000000.0	10625896.9	10417501.8	10853489.1
19000000.0	11144368.5	10926288.0	11382532.3
20000000.0	11658327.7	11430806.8	11906976.5
21000000.0	12168160.7	11931098.7	12426984.7
22000000.0	12673714.1	12427355.5	12942705.3
23000000.0	13175269.1	12919903.8	13454285.3
24000000.0	13672939.4	13408100.1	13961856.6
25000000.0	14166839.4	13892982.7	14465538.1
26000000.0	14657075.8	14374265.3	14965440.4
27000000.0	15143748.6	14852065.6	15461667.0
28000000.0	15626950.9	15326478.6	15954314.5
29000000.0	16106770.0	15797591.6	16443473.7
30000000.0	16583287.5	16265486.4	16929229.9
31000000.0	17056580.4	16730239.6	17411663.4
32000000.0	17526721.0	17191923.9	17890849.8
33000000.0	17993777.5	17650607.7	18366860.8
34000000.0	18457814.5	18106356.3	18839764.3
35000000.0	18918893.1	18559231.6	19309624.5
36000000.0	19377071.3	19009314.4	19776502.7
37000000.0	19832404.1	19456709.7	20240456.9
38000000.0	20284943.9	19901400.3	20701542.8
39000000.0	20734740.7	20343434.9	21159813.2
40000000.0	21181842.1	20782860.4	21615318.8
41000000.0	21626293.7	21219721.4	22068108.1
42000000.0	22068138.9	21654060.9	22518227.3
43000000.0	22507419.6	22085919.9	22965721.0
44000000.0	22944175.7	22515338.0	23410632.0
45000000.0	23378445.6	22942353.2	23853001.3
46000000.0	23810266.3	23367001.8	24292868.4
47000000.0	24239673.2	23789319.1	24730271.5
48000000.0	24666700.7	24209338.9	25164559.1
49000000.0	25091381.6	24627094.0	25595775.7
50000000.0	25513747.8	25042615.8	26024545.0
51000000.0	25934037.4	25455934.8	26450965.9
52000000.0	26352265.2	25867080.4	26878030.1
53000000.0	26768293.3	26276081.2	27303488.7
54000000.0	27182346.1	26683028.1	27726024.8
55000000.0	27594492.4	27088047.5	28144935.5
56000000.0	28004533.7	27491037.4	28561960.3
57000000.0	28412495.0	27892024.6	28977771.5
58000000.0	28818400.3	28288728.4	29391545.6
59000000.0	29223965.4	28682809.9	29803310.1
60000000.0	29632136.8	29074814.4	30213091.9
61000000.0	30036741.1	29464765.6	30620917.2
62000000.0	30434119.0	29852436.0	31026811.4
63000000.0	30829525.2	30237985.3	31430799.3
64000000.0	31222980.5	30617789.2	31832970.4
65000000.0	31615613.1	30998749.1	32233327.9
66000000.0	32006673.4	31377703.8	32631855.2
67000000.0	32396347.6	31754672.9	33028574.6
