search_term	db_term	term_category
GRO-seq	GRO-seq	protocol
GROseq	GRO-seq	protocol
GRO seq	GRO-seq	protocol
PRO-seq	PRO-seq	protocol
PROseq	PRO-seq	protocol
PRO seq	PRO-seq	protocol
GRO-cap	GRO-cap	protocol
GROcap	GRO-cap	protocol
GRO cap	GRO-cap	protocol
PRO-cap	PRO-cap	protocol
PROcap	PRO-cap	protocol
PRO cap	PRO-cap	protocol
NET-seq	NET-seq	protocol
NETseq	NET-seq	protocol
NET seq	NET-seq	protocol
H. sapiens	H. sapiens	organism
H sapiens	H. sapiens	organism
human	H. sapiens	organism
M. musculus	M. musculus	organism
M musculus	M. musculus	organism
mouse	M. musculus	organism
D. melanogaster	D. melanogaster	organism
D melanogaster	D. melanogaster	organism
fruit fly	D. melanogaster	organism
fly	D. melanogaster	organism
A. thaliana	A. thaliana	organism
A thaliana	A. thaliana	organism
Arabidopsis	A. thaliana	organism
Z. mays	Z. mays	organism
Z mays	Z. mays	organism
corn	Z. mays	organism
M. esculenta	M. esculenta	organism
M esculenta	M. esculenta	organism
cassava	M. esculenta	organism
E. coli	E. coli	organism
E coli	E. coli	organism
C. elegans	C. elegans	organism
C elegans	C. elegans	organism
worm	C. elegans	organism
S. pombe	S. pombe	organism
S pombe	S. pombe	organism
S. Cerevisiae	S. Cerevisiae	organism
S Cerevisiae	S. Cerevisiae	organism
P. falciparum	P. falciparum	organism
P falciparum	P. falciparum	organism
Plasmodium	P. falciparum	organism
R. norvegicus	R. norvegicus	organism
R norvegicus	R. norvegicus	organism
rat	R. norvegicus	organism
S. scrofa	S. scrofa	organism
S scrofa	S. scrofa	organism
pig	S. scrofa	organism
T. thermophila	T. thermophila	organism
T thermophila	T. thermophila	organism
Tetrahymena	T. thermophila	organism
C. griseus	C. griseus	organism
C griseus	C. griseus	organism
Chinese hamster	C. griseus	organism
C. lupus familiaris	C. lupus familiaris	organism
C lupus familiaris	C. lupus familiaris	organism
C lupus	C. lupus familiaris	organism
dog	C. lupus familiaris	organism
P. troglodytes	P. troglodytes	organism
P troglodytes	P. troglodytes	organism
chimpanzee	P. troglodytes	organism
M. mulatta	M. mulatta	organism
M mulatta	M. mulatta	organism
macaque	M. mulatta	organism
rhesus	M. mulatta	organism
rhesus macaque	M. mulatta	organism
M. velifer	M. velifer	organism
M velifer	M. velifer	organism
bat	M. velifer	organism
HCT116	HCT116	sample type
HCT-116	HCT116	sample type
HCT 116	HCT116	sample type
IMR90	IMR90	sample type
IMR-90	IMR90	sample type
MEF	MEF	sample type
mouse embryonic fibroblast	MEF	sample type
Nalm6	Nalm6	sample type
Nalm-6	Nalm6	sample type
S2	S2	sample type
whole fly	whole fly	sample type
adult fly	whole fly	sample type
B cell	B cell	sample type
B-cell	B cell	sample type
Jurkat T cell	Jurkat T cell	sample type
Jurkat T-cell	Jurkat T cell	sample type
epididymal white adipose tissue	epididymal white adipose tissue	sample type
brown adipose tissue	brown adipose tissue	sample type
inguinal white adipose tissue	inguinal white adipose tissue	sample type
MCF7	MCF7	sample type
MCF-7	MCF7	sample type
HeLa	HeLa	sample type
HEK293T	HEK293T	sample type
HEK-293T	HEK293T	sample type
HEK293-T	HEK293T	sample type
HEK-293-T	HEK293T	sample type
HEK293	HEK293	sample type
HEK-293	HEK293	sample type
HeLa S3	HeLa S3	sample type
MRC5VA	MRC5VA	sample type
MRC-5VA	MRC5VA	sample type
MRC5-VA	MRC5VA	sample type
MRC-5-VA	MRC5VA	sample type
MRC5	MRC5	sample type
MRC-5	MRC5	sample type
peritoneal macrophage	peritoneal macrophage	sample type
cardiomyocyte	cardiomyocyte	sample type
quadriceps muscle	quadriceps muscle	sample type
cortical neuron	cortical neuron	sample type
ESC	ESC	sample type
embryonic stem cell	ESC	sample type
K562	K562	sample type
K-562	K562	sample type
bone marrow derived macrophage	bone marrow derived macrophage	sample type
HF1	HF1	sample type
HF-1	HF1	sample type
skin fibroblast	skin fibroblast	sample type
intestinal organoid	intestinal organoid	sample type
AtT20	AtT20	sample type
AtT-20	AtT20	sample type
splenic B cell	splenic B cell	sample type
splenic B-cell	splenic B cell	sample type
head	head	sample type
splenic germinal center B cell	splenic germinal center B cell	sample type
splenic germinal center B-cell	splenic germinal center B cell	sample type
Ramos	Ramos	sample type
Ramos B cell	Ramos	sample type
Ramos B-cell	Ramos	sample type
hematopoietic progenitor cell	hematopoietic progenitor cell	sample type
CD34+ progenitor cell	hematopoietic progenitor cell	sample type
HSPC	hematopoietic progenitor cell	sample type
CD34+ erythroblast	CD34+ erythroblast	sample type
C2C12	C2C12	sample type
LNCaP	LNCaP	sample type
VCaP	VCaP	sample type
REH	REH	sample type
ovary	ovary	sample type
SUDHL4	SUDHL4	sample type
NUDUL1	NUDUL1	sample type
OCILY1	OCILY1	sample type
forebrain	forebrain	sample type
A549	A549	sample type
A-549	A549	sample type
HEp2	HEp2	sample type
HEp-2	HEp2	sample type
RMG1	RMG1	sample type
RMG-1	RMG1	sample type
seed	seed	sample type
HUVEC	HUVEC	sample type
shoot	shoot	sample type
MEL624	MEL624	sample type
MEL-624	MEL624	sample type
pre pro B cell	pre pro B cell	sample type
pre pro B-cell	pre pro B cell	sample type
pre pro-B cell	pre pro B cell	sample type
pre pro-B-cell	pre pro B cell	sample type
pre-pro-B-cell	pre pro B cell	sample type
pro B cell	pro B cell	sample type
pro B-cell	pro B cell	sample type
pro-B cell	pro B cell	sample type
pro-B-cell	pro B cell	sample type
NTera2/D1	NTera2/D1	sample type
NTera2	NTera2/D1	sample type
MHT	MHT	sample type
liver	liver	sample type
yolk sac	yolk sac	sample type
NSPC	NSPC	sample type
neural stem cell	NSPC	sample type
neural progenitor cell	NSPC	sample type
neural stem progenitor cell	NSPC	sample type
neural stem/progenitor cell	NSPC	sample type
A375	A375	sample type
A-375	A375	sample type
GM12878	GM12878	sample type
GM-12878	GM12878	sample type
RAW264.7	RAW264.7	sample type
RAW-264.7	RAW264.7	sample type
Kasumi-1	Kasumi-1	sample type
Kasumi 1	Kasumi-1	sample type
Kasumi	Kasumi-1	sample type
acute myeloid leukemia cell	acute myeloid leukemia cell	sample type
HAEC	HAEC	sample type
human aortic endothelial cells	HAEC	sample type
aortic endothelial cells	HAEC	sample type
SHEP	SHEP	sample type
whole bacteria	whole bacteria	sample type
bacteria	whole bacteria	sample type
3T3-L1	3T3-L1	sample type
3T3L1	3T3-L1	sample type
3T3 L1	3T3-L1	sample type
Ly-1	Ly-1	sample type
Ly 1	Ly-1	sample type
Ly1	Ly-1	sample type
MV4-11	MV4-11	sample type
MV(4;11)	MV4-11	sample type
MV-4-11	MV4-11	sample type
MV411	MV4-11	sample type
U936	U936	sample type
U-936	U936	sample type
whole worm	whole worm	sample type
KBM7	KBM7	sample type
KBM-7	KBM7	sample type
CUTLL1	CUTLL1	sample type
whole yeast	whole yeast	sample type
hepatocyte	hepatocyte	sample type
iPSC	iPSC	sample type
induced pluripotent stem cell	iPSC	sample type
pluripotent stem cell	iPSC	sample type
HEK293T Flp-in	HEK293T Flp-in	sample type
HEK-293T Flp-in	HEK293T Flp-in	sample type
HEK-293-T Flp-in	HEK293T Flp-in	sample type
HEK293T Flpin	HEK293T Flp-in	sample type
HEK293T Flp in	HEK293T Flp-in	sample type
HEK293-T Flp-in	HEK293T Flp-in	sample type
HEK293 Flp-in	HEK293 Flp-in	sample type
HEK293 Flpin	HEK293 Flp-in	sample type
HEK-293 Flp-in	HEK293 Flp-in	sample type
HEK293 Flp in	HEK293 Flp-in	sample type
HCEC	HCEC	sample type
seedling	seedling	sample type
HepG2	HepG2	sample type
Hep-G2	HepG2	sample type
HepG-2	HepG2	sample type
BEAS-2B	BEAS-2B	sample type
B2B	BEAS-2B	sample type
BEAS2B	BEAS-2B	sample type
BEAS 2B	BEAS-2B	sample type
foreskin fibroblast	foreskin fibroblast	sample type
HFF	foreskin fibroblast	sample type
inflorescence and meristem	inflorescence and meristem	sample type
AC16	AC16	sample type
AC-16	AC16	sample type
CH12F3	CH12F3	sample type
CH12-F3	CH12F3	sample type
CH-12F3	CH12F3	sample type
CH-12-F3	CH12F3	sample type
CH12F-3	CH12F3	sample type
DL1	DL1	sample type
DL-1	DL1	sample type
MDA-MB-231	MDA-MB-231	sample type
MDA-MB231	MDA-MB-231	sample type
MDAMB231	MDA-MB-231	sample type
MDAMB-231	MDA-MB-231	sample type
MDA-MB-361	MDA-MB-361	sample type
MDA-MB361	MDA-MB-361	sample type
MDAMB361	MDA-MB-361	sample type
MDAMB-361	MDA-MB-361	sample type
MDA-MB-468	MDA-MB-468	sample type
MDA-MB468	MDA-MB-468	sample type
MDAMB468	MDA-MB-468	sample type
MDAMB-468	MDA-MB-468	sample type
MDA-MB-436	MDA-MB-436	sample type
MDA-MB436	MDA-MB-436	sample type
MDAMB436	MDA-MB-436	sample type
MDAMB-436	MDA-MB-436	sample type
myoblast	myoblast	sample type
embryo	embryo	sample type
HCC1806	HCC1806	sample type
HCC-1806	HCC1806	sample type
SEM	SEM	sample type
CD4+ T cell	CD4+ T cell	sample type
CD4+ T-cell	CD4+ T cell	sample type
CD4 T cell	CD4+ T cell	sample type
CD4 T-cell	CD4+ T cell	sample type
U2OS	U2OS	sample type
U-2 OS	U2OS	sample type
U-2OS	U2OS	sample type
U2 OS	U2OS	sample type
ECOMG	ECOMG	sample type
ECOM-G	ECOMG	sample type
ECO-MG	ECOMG	sample type
THP1	THP1	sample type
THP-1	THP1	sample type
leaf	leaf	sample type
ovarian somatic cell	ovarian somatic cell	sample type
SJSA	SJSA	sample type
SJSA1	SJSA	sample type
SJSA-1	SJSA	sample type
T47D	T47D	sample type
T-47D	T47D	sample type
ARPE-19	ARPE-19	sample type
ARPE19	ARPE-19	sample type
ARPE 19	ARPE-19	sample type
NHA	NHA	sample type
normal human astrocyte	NHA	sample type
SKOV3	SKOV3	sample type
SKOV-3	SKOV3	sample type
T98G	T98G	sample type
T-98G	T98G	sample type
T98-G	T98G	sample type
U87	U87	sample type
U-87	U87	sample type
BJ	BJ	sample type
BJ5ta	BJ5ta	sample type
BJ-5ta	BJ5ta	sample type
TIG-3	TIG-3	sample type
TIG3	TIG-3	sample type
76NF2V	76NF2V	sample type
76NF-2V	76NF2V	sample type
76-NF2V	76NF2V	sample type
MCF10A	MCF10A	sample type
MCF-10A	MCF10A	sample type
MCF10-A	MCF10A	sample type
ZR751	ZR751	sample type
ZR-75-1	ZR751	sample type
ZR75-1	ZR751	sample type
ZR-751	ZR751	sample type
UACC812	UACC812	sample type
UACC-812	UACC812	sample type
SKBR3	SKBR3	sample type
SK-BR-3	SKBR3	sample type
SKBR-3	SKBR3	sample type
AU565	AU565	sample type
AU-565	AU565	sample type
HCC1954	HCC1954	sample type
HCC-1954	HCC1954	sample type
HCC1937	HCC1937	sample type
HCC-1937	HCC1937	sample type
HASM	HASM	sample type
human airway smooth muscle cell	HASM	sample type
airway smooth muscle cell	HASM	sample type
human umbilical vein endothelial cell	HUVEC	sample type
umbilical vein endothelial cell	HUVEC	sample type
CD14+ macrophage	CD14+ macrophage	sample type
CD14 macrophage	CD14+ macrophage	sample type
A2780	A2780	sample type
A-2780	A2780	sample type
TRExBCBL1	TRExBCBL1	sample type
SW480	SW480	sample type
SW-480	SW480	sample type
v-Abl pro B cell	v-Abl pro B cell	sample type
vAbl pro B cell	v-Abl pro B cell	sample type
v-Abl pro-B cell	v-Abl pro B cell	sample type
v-Abl pro B-cell	v-Abl pro B cell	sample type
v-Abl pro-B-cell	v-Abl pro B cell	sample type
vAbl pro-B cell	v-Abl pro B cell	sample type
vAbl pro B-cell	v-Abl pro B cell	sample type
cortex	cortex	sample type
N2a	N2a	sample type
PCT 7134	PCT 7134	sample type
PCT7134	PCT 7134	sample type
PCT-7134	PCT 7134	sample type
early ring parasite	early ring parasite	sample type
late ring parasite	late ring parasite	sample type
early trophozoite parasite	early trophozoite parasite	sample type
late trophozoite parasite	late trophozoite parasite	sample type
early schizont parasite	early schizont parasite	sample type
late schizont parasite	late schizont parasite	sample type
gametoyte stage III parasite	gametoyte stage III parasite	sample type
GC pituitary cell	GC pituitary cell	sample type
myocardium	myocardium	sample type
micronucleus	micronucleus	sample type
brain	brain	sample type
CHO-K1	CHO-K1	sample type
CHOK1	CHO-K1	sample type
kidney	kidney	sample type
lung	lung	sample type
spleen hemangiosarcoma	spleen hemangiosarcoma	sample type
spleen	spleen	sample type
lymphoblast	lymphoblast	sample type
LBL	lymphoblast	sample type
embryonic gonad	embryonic gonad	sample type
ML-DmBG3-c2	ML-DmBG3-c2	sample type
LC-2/ad	LC-2/ad	sample type
LC2/ad	LC-2/ad	sample type
HAP1	HAP1	sample type
HAP-1	HAP1	sample type
S2VP10	S2VP10	sample type
S2-VP10	S2VP10	sample type
G401	G401	sample type
G-401	G401	sample type
embryonic fibroblast	embryonic fibroblast	sample type
DLD1 Flp-In	DLD1 Flp-In	sample type
DLD-1 Flp-In	DLD1 Flp-In	sample type
DLD1 Flp In	DLD1 Flp-In	sample type
DLD-1 Flp In	DLD1 Flp-In	sample type
DMSO	DMSO	treatment
dimethyl sulfoxide	DMSO	treatment
adeno-Cre virus	adeno-Cre virus	treatment
adeno-Cre	adeno-Cre virus	treatment
adeno Cre virus	adeno-Cre virus	treatment
adeno Cre	adeno-Cre virus	treatment
PBS	PBS	treatment
phosphate buffered saline	PBS	treatment
phosphate-buffered saline	PBS	treatment
3MB-PP1	3MB-PP1	treatment
3-MB-PP1	3MB-PP1	treatment
1-Tert-Butyl-3-(3-Methylbenzyl)-1h-Pyrazolo[3,4-D]pyrimidin-4-Amine	3MB-PP1	treatment
17-beta-estradiol	17-beta-estradiol	treatment
beta-estradiol	17-beta-estradiol	treatment
E2	17-beta-estradiol	treatment
estrogen	17-beta-estradiol	treatment
17-beta-estradiol withdrawal	17-beta-estradiol withdrawal	treatment
beta estradiol withdrawal	17-beta-estradiol withdrawal	treatment
E2 withdrawal	17-beta-estradiol withdrawal	treatment
estrogen withdrawal	17-beta-estradiol withdrawal	treatment
ethynyl uridine	ethynyl uridine	treatment
EU	ethynyl uridine	treatment
5EU	ethynyl uridine	treatment
5-ethynyl uridine	ethynyl uridine	treatment
doxycycline	doxycycline	treatment
dox	doxycycline	treatment
4-hydroxytamoxifen	hydroxytamoxifen	treatment
tam	hydroxytamoxifen	treatment
tamoxifen	hydroxytamoxifen	treatment
hydroxytamoxifen	hydroxytamoxifen	treatment
IFN-gamma	IFN-gamma	treatment
IFNg	IFN-gamma	treatment
IFNgamma	IFN-gamma	treatment
interferon gamma	IFN-gamma	treatment
interferon-gamma	IFN-gamma	treatment
interferon	IFN	treatment
TNF-alpha	TNF-alpha	treatment
TNFa	TNF-alpha	treatment
TNFalpha	TNF-alpha	treatment
TNF alpha	TNF-alpha	treatment
tumor necrosis factor alpha	TNF-alpha	treatment
ultraviolet C	ultraviolet C	treatment
UVC	ultraviolet C	treatment
DRB	DRB	treatment
5,6-dichlorobenzimidazole 1-beta-D-ribofuranoside	DRB	treatment
lipopolysaccharide	lipopolysaccharide	treatment
LPS	lipopolysaccharide	treatment
bromouridine	bromouridine	treatment
BU	bromouridine	treatment
5-bromouridine	bromouridine	treatment
actinomycin D	actinomycin D	treatment
actD	actinomycin D	treatment
actinomycin	actinomycin D	treatment
nutlin-3	nutlin-3	treatment
nutlin	nutlin-3	treatment
nutlin-3a	nutlin-3	treatment
anti-CD40	anti-CD40	treatment
antiCD40	anti-CD40	treatment
interleukin-4	interleukin-4	treatment
IL-4	interleukin-4	treatment
IL4	interleukin-4	treatment
Kdo2-Lipid A	Kdo2-Lipid A	treatment
KLA	Kdo2-Lipid A	treatment
ethanol	ethanol	treatment
EtOH	ethanol	treatment
dihydrotestosterone	dihydrotestosterone	treatment
DHT	dihydrotestosterone	treatment
interleukin-1b	interleukin-1b	treatment
IL1b	interleukin-1b	treatment
IL-1b	interleukin-1b	treatment
LIF	LIF	treatment
leukaemia inhibitory factor	LIF	treatment
KL-2	KL-2	treatment
(2Z)-N-(5-chloro-2-methylphenyl)-4-(4-fluorophenyl)-2-hydroxy-4-oxo-2-butenamide	KL-2	treatment
KL-1	KL-1	treatment
(2Z)-N-(5-chloro-2-methylphenyl)-2-hydroxy-4-(3-methoxyphenyl)-4-oxo-2-butenamide	KL-1	treatment
leflunomide	leflunomide	treatment
lef	leflunomide	treatment
rosiglitazone	rosiglitazone	treatment
rosi	rosiglitazone	treatment
