#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
chr1	0.5500	248956422	0.0000	13.7740	34291357	1300720	1513701	0.4635	0	75.68
chr2	0.3348	242193529	0.0000	12.6849	30721915	816361	862156	0.4268	0	28.15
chr3	0.3270	198295559	0.0000	11.6922	23185085	811832	522002	0.4436	0	41.68
chr4	0.2044	190214555	0.0000	8.4977	16163931	464943	363057	0.4077	0	15.31
chr5	0.3508	181538259	0.0000	11.9999	21784402	769963	550933	0.4208	0	20.88
chr6	0.3858	170805979	0.0000	11.8320	20209839	798755	562517	0.4496	0	37.78
chr7	0.3127	159345973	0.0000	12.5064	19928369	568719	470204	0.4345	0	6.18
chr8	0.3167	145138636	0.0000	9.9414	14428837	390404	566741	0.4493	0	62.95
chr9	0.3149	138394717	0.0000	10.8018	14949165	561269	341108	0.4630	0	42.74
chr10	0.2985	133797422	0.0000	12.9252	17293587	473634	357400	0.4215	0	5.55
chr11	0.4037	135086622	0.0000	11.9294	16115053	689698	438087	0.4346	0	46.70
chr12	0.4761	133275309	0.0000	13.4797	17965098	833891	474062	0.4672	0	79.99
chr13	0.2050	114364328	0.0000	8.0279	9181000	220188	262759	0.4110	0	11.80
chr14	0.5504	107043718	0.0000	11.5227	12334315	672076	530096	0.5099	0	92.78
chr15	0.3127	101991189	0.0000	12.8787	13135101	364626	294865	0.4263	0	7.71
chr16	0.5213	90338345	0.0000	15.7257	14206363	513961	460543	0.4723	0	20.49
chr17	0.7629	83257441	0.0000	21.0831	17553227	676424	650610	0.4723	0	55.51
chr18	0.2179	80373285	0.0000	9.4954	7631754	212757	159213	0.4067	0	7.49
chr19	0.6279	58617616	0.0000	22.1448	12980748	487925	275408	0.5013	0	30.49
chr20	0.3923	64444167	0.0000	13.3792	8622130	248568	275806	0.4519	0	40.06
chr21	32.6750	46709983	0.0000	10.2699	4797090	31044531	111728	0.5742	0	1157.97
chr22	0.3950	50818468	0.0000	14.9232	7583725	234573	180334	0.4843	0	11.52
chrX	0.1754	156040895	0.0000	6.8871	10746626	356288	223000	0.4356	0	26.61
chrY	0.0511	57227415	0.0000	1.5911	910524	60573	12351	0.3777	0	11.11
chrM	1796.2622	16569	0.0000	99.8491	16544	562057	41266	0.4270	858	2740.76
chr1_KI270706v1_random	0.0111	175055	0.0000	0.7775	1361	21	22	0.4333	0	0.16
chr1_KI270707v1_random	0.0250	32032	0.0000	1.9262	617	14	2	0.4314	0	0.19
chr1_KI270708v1_random	0.0201	127682	0.0000	1.7645	2253	46	9	0.4132	0	0.16
chr1_KI270709v1_random	0.0174	66860	0.0000	1.3326	891	15	9	0.3872	0	0.16
chr1_KI270710v1_random	0.0215	40176	0.0000	1.8643	749	10	7	0.4152	0	0.17
chr1_KI270711v1_random	2.1403	42210	0.0000	70.3293	29686	19	1792	0.4161	1	3.06
chr1_KI270712v1_random	0.1499	176043	0.0000	7.6958	13548	193	346	0.3621	0	0.96
chr1_KI270713v1_random	45.7652	40745	0.0000	34.6374	14113	461	37309	0.5278	0	751.10
chr1_KI270714v1_random	0.2241	41717	0.0000	11.1393	4647	120	71	0.4126	0	0.81
chr2_KI270715v1_random	0.0003	161471	0.0000	0.0316	51	1	0	0.3529	0	0.02
chr2_KI270716v1_random	0.0007	153799	0.0000	0.0657	101	2	0	0.3725	0	0.03
chr3_GL000221v1_random	0.0221	155397	0.0000	1.6519	2567	33	38	0.4201	0	0.20
chr4_GL000008v2_random	0.0187	209709	0.0000	1.2017	2520	52	39	0.4148	0	0.26
chr5_GL000208v1_random	0.0220	92689	0.0000	1.7823	1652	23	18	0.3972	0	0.18
chr9_KI270717v1_random	0.0107	40062	0.0000	0.7613	305	8	3	0.5578	0	0.14
chr9_KI270718v1_random	0.3643	38054	0.0000	9.7493	3710	153	132	0.5081	0	3.03
chr9_KI270719v1_random	0.1210	176845	0.0000	8.2835	14649	96	347	0.3766	0	0.51
chr9_KI270720v1_random	0.2049	39050	0.0000	11.9283	4658	27	148	0.3428	0	0.76
chr11_KI270721v1_random	0.2118	100316	0.0000	10.2247	10257	417	12	0.6312	0	0.86
chr14_GL000009v2_random	0.0135	201709	0.0000	1.0639	2146	32	28	0.4321	0	0.14
chr14_GL000225v1_random	0.3384	211173	0.0000	13.8020	29146	942	537	0.4646	0	1.40
chr14_KI270722v1_random	0.0245	194050	0.0000	1.9526	3789	89	13	0.4229	0	0.20
chr14_GL000194v1_random	0.0169	191469	0.0000	1.3198	2527	35	35	0.4595	0	0.17
chr14_KI270723v1_random	0.0765	38115	0.0000	4.8249	1839	17	42	0.4504	0	0.41
chr14_KI270724v1_random	0.0862	39555	0.0000	4.6416	1836	45	26	0.4988	0	0.60
chr14_KI270725v1_random	0.1271	172810	0.0000	3.5391	6116	417	33	0.3176	0	1.32
chr14_KI270726v1_random	0.0598	43739	0.0000	2.9859	1306	40	14	0.4416	0	0.47
chr15_KI270727v1_random	0.1655	448248	0.0000	8.6816	38915	529	1000	0.4207	0	0.83
chr16_KI270728v1_random	0.0830	1872759	0.0000	4.7248	88485	2080	1163	0.4098	0	0.60
chr17_GL000205v2_random	1.9058	185591	0.0000	39.4453	73207	1130	6000	0.4186	0	4.43
chr17_KI270729v1_random	0.0099	280839	0.0000	0.7054	1981	41	20	0.3721	0	0.15
chr17_KI270730v1_random	0.0070	112551	0.0000	0.3554	400	12	9	0.3009	0	0.17
chr22_KI270731v1_random	0.1009	150754	0.0000	6.4808	9770	253	60	0.4800	0	0.52
chr22_KI270732v1_random	0.0176	41543	0.0000	1.4010	582	14	2	0.3935	0	0.16
chr22_KI270733v1_random	4418.0817	179772	0.0000	38.6807	69537	16211235	671	0.5750	0	13082.72
chr22_KI270734v1_random	0.1150	165050	0.0000	6.7355	11117	191	203	0.5165	0	0.56
chr22_KI270735v1_random	0.0124	42811	0.0000	0.8853	379	7	6	0.2846	0	0.16
chr22_KI270736v1_random	0.0054	181920	0.0000	0.3210	584	9	11	0.4457	0	0.11
chr22_KI270737v1_random	0.0077	103838	0.0000	0.5085	528	5	12	0.3057	0	0.13
chr22_KI270738v1_random	0.0077	99375	0.0000	0.6148	611	8	7	0.3542	0	0.11
chr22_KI270739v1_random	0.0136	73985	0.0000	0.8894	658	16	5	0.4004	0	0.18
chrY_KI270740v1_random	0.0014	37240	0.0000	0.1369	51	0	1	0.4118	0	0.04
chrUn_KI270302v1	0.0000	2274	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270304v1	0.1132	2165	0.0000	8.3141	180	2	3	0.3843	0	0.40
chrUn_KI270303v1	0.1792	1942	0.0000	11.8950	231	4	3	0.3838	0	0.54
chrUn_KI270305v1	0.0000	1472	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270322v1	0.0000	21476	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270320v1	0.0000	4416	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270310v1	0.0808	1201	0.0000	8.0766	97	1	1	0.3627	0	0.27
chrUn_KI270316v1	0.0000	1444	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270315v1	0.0000	2276	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270312v1	0.0000	998	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270311v1	0.0000	12399	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270317v1	0.0050	37690	0.0000	0.4166	157	2	2	0.3873	0	0.08
chrUn_KI270412v1	0.0000	1179	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270411v1	0.0000	2646	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270414v1	0.0000	2489	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270419v1	0.0000	1029	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270418v1	0.0000	2145	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270420v1	0.0151	2321	0.0000	1.5080	35	1	0	0.4286	0	0.12
chrUn_KI270424v1	0.0154	2140	0.0000	1.5421	33	0	1	0.4242	0	0.12
chrUn_KI270417v1	0.0000	2043	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270422v1	0.0000	1445	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270423v1	0.0000	981	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270425v1	0.0000	1884	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270429v1	0.0000	1361	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270442v1	3.3248	392061	0.0000	3.8527	15105	311	27355	0.4176	0	172.81
chrUn_KI270466v1	0.0000	1233	0.0000	0.0000	0	0	0	0.0000	0	0.00
