#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
chr1	1.0396	248956422	0.0000	4.4603	11104106	3010629	3036206	0.6132	0	87.30
chr2	0.5988	242193529	0.0000	3.5007	8478536	1713378	1678256	0.6376	0	25.76
chr3	0.6021	198295559	0.0000	3.3697	6682029	1416714	1372652	0.6422	0	27.83
chr4	0.3964	190214555	0.0000	2.4787	4714857	893367	870898	0.6349	0	16.67
chr5	0.6035	181538259	0.0000	3.2725	5940772	1250144	1313690	0.6400	0	25.89
chr6	0.7595	170805979	0.0000	3.8310	6543556	1557105	1479243	0.6167	0	44.53
chr7	0.7169	159345973	0.0000	3.8223	6090641	1346358	1321978	0.6438	0	33.53
chr8	0.4983	145138636	0.0000	3.0613	4443084	845312	848610	0.6456	0	18.41
chr9	0.6970	138394717	0.0000	3.6351	5030802	1134576	1120478	0.6482	0	31.60
chr10	0.6424	133797422	0.0000	3.8102	5097918	1050236	959410	0.6406	0	21.91
chr11	0.8095	135086622	0.0000	4.0545	5477128	1226895	1329096	0.6419	0	31.81
chr12	0.8369	133275309	0.0000	4.3762	5832414	1344498	1262517	0.6277	0	39.10
chr13	0.3561	114364328	0.0000	2.1996	2515549	472961	480857	0.6399	0	15.55
chr14	0.7348	107043718	0.0000	3.7431	4006725	928333	908056	0.6229	0	66.56
chr15	0.7481	101991189	0.0000	4.0062	4086017	903364	878929	0.6403	0	28.29
chr16	1.1134	90338345	0.0000	5.5115	4978982	1167077	1179530	0.6623	0	34.97
chr17	1.7679	83257441	0.0000	7.4502	6202816	1694715	1744601	0.6244	0	102.60
chr18	0.4087	80373285	0.0000	2.6474	2127806	381229	386912	0.6443	0	22.27
chr19	2.2376	58617616	0.0000	9.4287	5526874	1644908	1416861	0.6465	0	57.87
chr20	0.8285	64444167	0.0000	4.4505	2868080	647790	598899	0.6547	0	27.87
chr21	1.3868	46709983	0.0000	3.5186	1643525	1179692	347550	0.6857	0	129.81
chr22	1.0514	50818468	0.0000	5.3994	2743869	609680	637530	0.6521	0	30.90
chrX	0.2916	156040895	0.0000	2.2197	3463681	531298	534654	0.6262	0	14.12
chrY	0.0402	57227415	0.0000	0.4995	285842	30589	23811	0.5653	0	2.85
chrM	762.2339	16569	0.0000	99.9336	16558	277544	42635	0.4497	533	1424.69
chr1_KI270706v1_random	0.1843	175055	0.0000	5.5325	9685	543	228	0.4948	0	1.85
chr1_KI270707v1_random	0.1479	32032	0.0000	6.1126	1958	42	72	0.4890	0	0.87
chr1_KI270708v1_random	0.0696	127682	0.0000	2.5031	3196	96	123	0.4784	0	0.68
chr1_KI270709v1_random	0.0000	66860	0.0000	0.0000	0	0	0	0.0000	0	0.00
chr1_KI270710v1_random	0.0041	40176	0.0000	0.4132	166	3	1	0.5361	0	0.06
chr1_KI270711v1_random	0.0694	42210	0.0000	4.7880	2021	13	58	0.4499	0	0.36
chr1_KI270712v1_random	0.1043	176043	0.0000	2.3625	4159	181	249	0.6086	0	1.91
chr1_KI270713v1_random	92.6803	40745	0.0000	14.0140	5710	4911	81815	0.4887	0	2155.91
chr1_KI270714v1_random	0.3430	41717	0.0000	3.9960	1667	67	270	0.5658	0	4.25
chr2_KI270715v1_random	0.0000	161471	0.0000	0.0000	0	0	0	0.0000	0	0.00
chr2_KI270716v1_random	0.0000	153799	0.0000	0.0000	0	0	0	0.0000	0	0.00
chr3_GL000221v1_random	1.0305	155397	0.0000	7.2569	11277	870	2854	0.6049	0	21.31
chr4_GL000008v2_random	0.2229	209709	0.0000	3.8406	8054	835	266	0.6008	0	4.65
chr5_GL000208v1_random	0.0028	92689	0.0000	0.2330	216	5	1	0.4176	0	0.06
chr9_KI270717v1_random	0.0439	40062	0.0000	2.7882	1117	14	27	0.5229	0	0.30
chr9_KI270718v1_random	7.3406	38054	0.0000	19.1701	7295	666	5779	0.6579	0	117.38
chr9_KI270719v1_random	1.2110	176845	0.0000	6.0002	10611	3131	1949	0.6555	0	12.31
chr9_KI270720v1_random	0.0488	39050	0.0000	2.7196	1062	13	37	0.4362	0	0.35
chr11_KI270721v1_random	0.7168	100316	0.0000	5.6472	5665	1403	269	0.6994	0	20.20
chr14_GL000009v2_random	0.2296	201709	0.0000	4.7797	9641	515	582	0.5523	0	3.45
chr14_GL000225v1_random	0.0144	211173	0.0000	0.6502	1373	34	45	0.5979	0	0.24
chr14_KI270722v1_random	0.0661	194050	0.0000	1.9876	3857	132	188	0.5288	0	0.77
chr14_GL000194v1_random	0.7153	191469	0.0000	7.1615	13712	1098	2106	0.6077	0	12.72
chr14_KI270723v1_random	0.2567	38115	0.0000	3.4868	1329	73	160	0.5590	0	3.12
chr14_KI270724v1_random	0.2447	39555	0.0000	3.1096	1230	107	127	0.5468	0	2.24
chr14_KI270725v1_random	0.0122	172810	0.0000	0.7528	1301	31	21	0.5221	0	0.16
chr14_KI270726v1_random	0.7967	43739	0.0000	11.6852	5111	451	375	0.5361	0	9.94
chr15_KI270727v1_random	0.1199	448248	0.0000	1.7013	7626	423	831	0.6181	0	2.59
chr16_KI270728v1_random	0.0467	1872759	0.0000	1.1440	21424	885	1209	0.5647	0	1.08
chr17_GL000205v2_random	4.9686	185591	0.0000	15.7508	29232	10951	10830	0.5496	0	40.30
chr17_KI270729v1_random	0.0027	280839	0.0000	0.1410	396	10	9	0.4376	0	0.09
chr17_KI270730v1_random	0.0014	112551	0.0000	0.1422	160	2	2	0.4688	0	0.04
chr22_KI270731v1_random	0.3237	150754	0.0000	3.8805	5850	478	670	0.6393	0	6.53
chr22_KI270732v1_random	0.0032	41543	0.0000	0.3177	132	3	0	0.4015	0	0.06
chr22_KI270733v1_random	77.2071	179772	0.0000	25.8411	46455	328282	4774	0.7037	0	1049.55
chr22_KI270734v1_random	0.4333	165050	0.0000	4.0848	6742	890	774	0.6658	0	8.30
chr22_KI270735v1_random	0.0013	42811	0.0000	0.1331	57	1	1	0.5085	0	0.04
chr22_KI270736v1_random	0.0005	181920	0.0000	0.0242	44	2	0	0.4091	0	0.03
chr22_KI270737v1_random	0.0016	103838	0.0000	0.1213	126	3	1	0.4659	0	0.05
chr22_KI270738v1_random	0.0015	99375	0.0000	0.1167	116	1	3	0.6040	0	0.05
chr22_KI270739v1_random	0.0030	73985	0.0000	0.2379	176	2	3	0.4364	0	0.06
chrY_KI270740v1_random	0.0000	37240	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270302v1	0.0000	2274	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270304v1	0.0277	2165	0.0000	1.3857	30	2	0	0.5455	0	0.23
chrUn_KI270303v1	0.0000	1942	0.0000	0.0000	0	0	0	0.0000	0	0.00
