#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
chr1	0.6110	248956422	0.0000	16.4926	41059507	1894427	1871811	0.4496	0	27.19
chr2	0.3694	242193529	0.0000	13.1185	31772058	1173078	1051097	0.4487	0	18.28
chr3	0.3316	198295559	0.0000	12.2642	24319395	820268	813162	0.4345	0	5.37
chr4	0.2590	190214555	0.0000	9.5826	18227458	619722	602292	0.4163	0	1.86
chr5	0.3623	181538259	0.0000	12.5391	22763351	823178	807540	0.4253	0	5.34
chr6	0.4687	170805979	0.0000	14.0707	24033665	997568	983942	0.4384	0	6.14
chr7	0.5514	159345973	0.0000	16.4598	26228036	1049443	1167632	0.4659	0	29.70
chr8	0.3104	145138636	0.0000	11.1815	16228666	567545	549299	0.4342	0	14.68
chr9	0.3297	138394717	0.0000	11.7873	16313054	567500	568314	0.4538	0	6.43
chr10	0.3429	133797422	0.0000	12.7229	17022899	576402	561822	0.4332	0	1.56
chr11	0.4125	135086622	0.0000	13.3130	17984050	696926	682920	0.4501	0	7.73
chr12	0.4095	133275309	0.0000	14.4331	19235792	685265	667905	0.4441	0	7.18
chr13	0.1798	114364328	0.0000	7.5605	8646560	254421	260082	0.4297	0	8.18
chr14	0.2920	107043718	0.0000	10.2181	10937788	344345	473590	0.5212	0	35.90
chr15	0.3940	101991189	0.0000	14.5068	14795650	502417	493069	0.4356	0	2.54
chr16	0.5725	90338345	0.0000	17.5098	15818034	646545	634086	0.4759	0	2.70
chr17	0.7625	83257441	0.0000	21.4624	17869010	798510	786810	0.4837	0	63.58
chr18	0.2185	80373285	0.0000	8.2875	6660900	220786	214828	0.4222	0	1.56
chr19	0.7828	58617616	0.0000	24.4175	14312984	571656	567190	0.5133	0	8.57
chr20	0.3870	64444167	0.0000	13.3689	8615493	313017	306335	0.4625	0	5.91
chr21	5.3588	46709983	0.0000	13.6762	6388137	3016019	3106059	0.5948	0	303.80
chr22	0.5607	50818468	0.0000	16.4420	8355591	356419	350489	0.4858	0	5.68
chrX	0.2027	156040895	0.0000	8.2411	12859424	401458	386078	0.4417	0	3.50
chrY	0.0204	57227415	0.0000	0.7520	430356	15939	13898	0.4423	0	1.22
chrM	2928.1045	16569	0.0000	100.0000	16569	610958	585508	0.4514	2330	2656.84
chr1_KI270706v1_random	4.8106	175055	0.0000	83.2418	145719	10391	10419	0.4302	3	5.66
chr1_KI270707v1_random	3.3596	32032	0.0000	63.1119	20216	1314	1359	0.4175	1	5.61
chr1_KI270708v1_random	0.3201	127682	0.0000	11.5913	14800	535	495	0.4195	0	1.25
chr1_KI270709v1_random	0.0829	66860	0.0000	4.5977	3074	73	72	0.3980	0	0.94
chr1_KI270710v1_random	0.0321	40176	0.0000	1.7025	684	22	10	0.4191	0	0.31
chr1_KI270711v1_random	2.8080	42210	0.0000	72.4686	30589	1498	1440	0.4445	2	3.38
chr1_KI270712v1_random	0.2772	176043	0.0000	12.5356	22068	627	590	0.4707	0	1.06
chr1_KI270713v1_random	14.4307	40745	0.0000	30.1755	12295	7000	7540	0.5237	0	149.37
chr1_KI270714v1_random	0.8356	41717	0.0000	19.1121	7973	429	440	0.4798	0	4.57
chr2_KI270715v1_random	0.0003	161471	0.0000	0.0254	41	0	1	0.4146	0	0.02
chr2_KI270716v1_random	0.0003	153799	0.0000	0.0267	41	0	1	0.4146	0	0.02
chr3_GL000221v1_random	4.3424	155397	0.0000	49.5203	76953	8419	8301	0.4168	0	8.90
chr4_GL000008v2_random	2.6983	209709	0.0000	50.2658	105412	7033	6963	0.4254	1	4.53
chr5_GL000208v1_random	0.0707	92689	0.0000	2.7134	2515	87	83	0.4208	0	0.79
chr9_KI270717v1_random	0.0668	40062	0.0000	4.0637	1628	37	33	0.4703	0	0.39
chr9_KI270718v1_random	0.9586	38054	0.0000	27.4032	10428	467	438	0.4289	0	2.88
chr9_KI270719v1_random	1.6337	176845	0.0000	30.1547	53327	3367	3845	0.3800	0	12.36
chr9_KI270720v1_random	2.8440	39050	0.0000	70.0922	27371	1359	1414	0.3847	2	3.96
chr11_KI270721v1_random	0.5278	100316	0.0000	21.7044	21773	630	669	0.5940	0	1.56
chr14_GL000009v2_random	4.8518	201709	0.0000	58.8472	118700	12193	12042	0.4235	2	6.90
chr14_GL000225v1_random	0.1352	211173	0.0000	7.5180	15876	349	367	0.4746	0	0.62
chr14_KI270722v1_random	0.2387	194050	0.0000	8.4437	16385	600	562	0.4182	0	1.17
chr14_GL000194v1_random	2.4702	191469	0.0000	38.2307	73200	5936	5790	0.4528	0	5.03
chr14_KI270723v1_random	0.1201	38115	0.0000	6.6326	2528	63	55	0.4279	0	0.51
chr14_KI270724v1_random	0.1096	39555	0.0000	5.4987	2175	57	53	0.4491	0	0.54
chr14_KI270725v1_random	0.0399	172810	0.0000	2.3413	4046	89	81	0.4142	0	0.33
chr14_KI270726v1_random	0.4717	43739	0.0000	23.6242	10333	265	252	0.4529	0	1.16
chr15_KI270727v1_random	0.0518	448248	0.0000	2.6990	12098	302	290	0.4140	0	0.47
chr16_KI270728v1_random	0.1288	1872759	0.0000	5.7935	108498	3029	3021	0.4343	0	0.74
chr17_GL000205v2_random	2.8522	185591	0.0000	33.5560	62277	6504	6625	0.4204	0	7.44
chr17_KI270729v1_random	0.1009	280839	0.0000	2.3323	6550	385	339	0.4272	0	1.61
chr17_KI270730v1_random	0.0593	112551	0.0000	2.0506	2308	77	93	0.4128	0	0.69
chr22_KI270731v1_random	0.1904	150754	0.0000	8.1809	12333	365	357	0.4795	0	0.94
chr22_KI270732v1_random	0.0674	41543	0.0000	4.6073	1914	39	33	0.4048	0	0.39
chr22_KI270733v1_random	949.9898	179772	0.0000	44.0475	79185	2060569	2112246	0.6116	0	4009.78
chr22_KI270734v1_random	0.2956	165050	0.0000	12.5623	20734	609	616	0.5020	0	1.14
chr22_KI270735v1_random	0.0501	42811	0.0000	3.1464	1347	30	23	0.3868	0	0.32
chr22_KI270736v1_random	0.0317	181920	0.0000	1.2418	2259	54	96	0.4303	0	0.42
chr22_KI270737v1_random	0.0767	103838	0.0000	2.6599	2762	139	63	0.4126	0	0.80
chr22_KI270738v1_random	0.0251	99375	0.0000	1.6081	1598	32	30	0.3962	0	0.26
chr22_KI270739v1_random	0.0226	73985	0.0000	1.4016	1037	22	21	0.4252	0	0.22
chrY_KI270740v1_random	0.0000	37240	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270302v1	0.0000	2274	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270304v1	4.4370	2165	0.0000	65.0346	1408	116	121	0.4198	2	6.40
chrUn_KI270303v1	4.4938	1942	0.0000	62.9763	1223	111	103	0.4046	2	5.76
chrUn_KI270305v1	0.0000	1472	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270322v1	0.0057	21476	0.0000	0.5727	123	1	2	0.4308	0	0.08
chrUn_KI270320v1	0.0000	4416	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270310v1	5.8626	1201	0.0000	72.2731	868	87	86	0.4054	3	6.14
chrUn_KI270316v1	0.0284	1444	0.0000	2.8393	41	1	0	0.4146	0	0.17
chrUn_KI270315v1	0.0000	2276	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270312v1	0.0411	998	0.0000	4.1082	41	1	0	0.3958	0	0.20
chrUn_KI270311v1	0.0133	12399	0.0000	1.3308	165	2	2	0.4108	0	0.11
chrUn_KI270317v1	0.2675	37690	0.0000	3.1361	1182	145	105	0.4271	0	3.11
chrUn_KI270412v1	0.0348	1179	0.0000	3.4775	41	0	1	0.3902	0	0.18
chrUn_KI270411v1	0.3394	2646	0.0000	23.5072	622	15	7	0.3996	0	0.75
chrUn_KI270414v1	0.0000	2489	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270419v1	0.0000	1029	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270418v1	0.8578	2145	0.0000	23.6364	507	25	20	0.4441	0	2.30
chrUn_KI270420v1	0.0883	2321	0.0000	7.1952	167	2	3	0.4247	0	0.34
chrUn_KI270424v1	0.0383	2140	0.0000	2.1963	47	1	1	0.4045	0	0.26
chrUn_KI270417v1	0.0000	2043	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270422v1	1.6623	1445	0.0000	47.6817	689	24	35	0.4025	0	2.50
chrUn_KI270423v1	0.0836	981	0.0000	8.3588	82	1	1	0.4382	0	0.28
chrUn_KI270425v1	0.0000	1884	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270429v1	0.0000	1361	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270442v1	0.5058	392061	0.0000	5.8991	23128	2680	2445	0.4342	0	17.77
chrUn_KI270466v1	9.6164	1233	0.0000	97.4858	1202	77	219	0.2411	5	10.25
chrUn_KI270465v1	1.5575	1774	0.0000	38.7824	688	48	20	0.3800	0	2.66
chrUn_KI270467v1	10.9625	3920	0.0000	62.6786	2457	383	687	0.2605	3	19.79
chrUn_KI270435v1	0.1019	92983	0.0000	6.8034	6326	119	116	0.3915	0	0.49
chrUn_KI270438v1	0.0589	112505	0.0000	3.3074	3721	74	94	0.4073	0	0.38
chrUn_KI270468v1	0.0000	4055	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270510v1	0.0170	2415	0.0000	1.6977	41	1	0	0.3125	0	0.13
chrUn_KI270509v1	0.0487	2318	0.0000	4.8749	113	2	1	0.3615	0	0.22
chrUn_KI270518v1	0.0000	2186	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270508v1	0.1384	1951	0.0000	4.0492	79	5	2	0.4566	0	0.73
chrUn_KI270516v1	0.0354	1300	0.0000	1.7692	23	1	1	0.4815	0	0.26
