#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
chr1	0.3193	248956422	0.0000	11.7323	29208426	1009309	1017278	0.4568	0	19.06
chr2	0.1888	242193529	0.0000	8.8792	21504910	635806	540508	0.4636	0	14.91
chr3	0.1645	198295559	0.0000	8.2811	16421080	416255	416136	0.4344	0	2.12
chr4	0.1288	190214555	0.0000	6.4475	12264074	314962	310390	0.4169	0	1.31
chr5	0.1829	181538259	0.0000	8.5729	15563007	424453	421960	0.4264	0	4.25
chr6	0.2400	170805979	0.0000	9.6620	16503291	521886	521549	0.4443	0	7.04
chr7	0.2682	159345973	0.0000	11.6185	18513625	528137	574286	0.4567	0	22.80
chr8	0.1522	145138636	0.0000	7.5553	10965597	283102	279885	0.4339	0	6.03
chr9	0.1645	138394717	0.0000	7.9611	11017792	292311	289823	0.4548	0	2.60
chr10	0.1700	133797422	0.0000	8.6868	11622693	291015	288743	0.4346	0	0.85
chr11	0.2140	135086622	0.0000	9.0559	12233376	367940	368671	0.4527	0	7.76
chr12	0.2067	133275309	0.0000	9.7800	13034287	352003	350653	0.4474	0	4.80
chr13	0.0892	114364328	0.0000	4.8366	5531354	129681	131899	0.4253	0	2.90
chr14	0.1464	107043718	0.0000	6.6393	7106922	184584	230150	0.5106	0	26.75
chr15	0.1975	101991189	0.0000	9.9587	10157019	257914	254863	0.4375	0	1.67
chr16	0.2844	90338345	0.0000	12.3853	11188651	328126	325749	0.4791	0	1.72
chr17	0.3728	83257441	0.0000	14.9731	12466261	397676	395494	0.4800	0	20.11
chr18	0.1103	80373285	0.0000	5.5866	4490117	113792	112247	0.4224	0	0.86
chr19	0.3927	58617616	0.0000	17.1356	10044473	293763	293539	0.5171	0	5.67
chr20	0.1951	64444167	0.0000	9.0796	5851276	159587	161563	0.4651	0	4.90
chr21	3.9456	46709983	0.0000	9.8852	4617362	2268172	2353378	0.6005	0	236.78
chr22	0.2751	50818468	0.0000	11.4770	5832420	177781	178415	0.4888	0	2.22
chrX	0.0994	156040895	0.0000	5.2992	8268989	199885	196936	0.4432	0	1.38
chrY	0.0099	57227415	0.0000	0.4675	267544	7722	7359	0.4420	0	0.65
chrM	1843.4980	16569	0.0000	99.9879	16567	402397	379485	0.4491	1323	2180.37
chr1_KI270706v1_random	2.3015	175055	0.0000	71.2028	124644	5141	5105	0.4285	2	2.86
chr1_KI270707v1_random	1.5171	32032	0.0000	51.3112	16436	608	632	0.4259	1	2.52
chr1_KI270708v1_random	0.1716	127682	0.0000	8.3034	10602	318	253	0.4089	0	0.72
chr1_KI270709v1_random	0.0193	66860	0.0000	1.8322	1225	17	15	0.3601	0	0.14
chr1_KI270710v1_random	0.0206	40176	0.0000	1.1748	472	10	13	0.4104	0	0.26
chr1_KI270711v1_random	1.1821	42210	0.0000	51.4688	21725	634	634	0.4409	1	1.73
chr1_KI270712v1_random	0.1140	176043	0.0000	7.2920	12837	259	255	0.4569	0	0.48
chr1_KI270713v1_random	8.4346	40745	0.0000	19.8037	8069	4193	4539	0.5282	0	105.53
chr1_KI270714v1_random	0.4938	41717	0.0000	12.6999	5298	262	265	0.4734	0	3.07
chr2_KI270715v1_random	0.0000	161471	0.0000	0.0000	0	0	0	0.0000	0	0.00
chr2_KI270716v1_random	0.0000	153799	0.0000	0.0000	0	0	0	0.0000	0	0.00
chr3_GL000221v1_random	2.0906	155397	0.0000	44.6038	69313	4097	4174	0.4181	0	5.26
chr4_GL000008v2_random	1.2889	209709	0.0000	40.9234	85820	3465	3417	0.4261	0	2.31
chr5_GL000208v1_random	0.0442	92689	0.0000	1.4705	1363	54	54	0.4042	0	0.81
chr9_KI270717v1_random	0.0387	40062	0.0000	2.7907	1118	20	20	0.4296	0	0.25
chr9_KI270718v1_random	0.4049	38054	0.0000	18.3003	6964	208	193	0.4408	0	1.22
chr9_KI270719v1_random	0.8487	176845	0.0000	21.8072	38565	1735	2144	0.3753	0	6.69
chr9_KI270720v1_random	1.2787	39050	0.0000	50.0871	19559	622	670	0.3843	1	2.05
chr11_KI270721v1_random	0.2436	100316	0.0000	13.9619	14006	308	310	0.6074	0	0.78
chr14_GL000009v2_random	2.2897	201709	0.0000	53.0269	106960	5772	5960	0.4235	1	3.31
chr14_GL000225v1_random	0.0666	211173	0.0000	4.7426	10015	209	166	0.4710	0	0.35
chr14_KI270722v1_random	0.1214	194050	0.0000	6.1953	12022	333	277	0.4089	0	0.63
chr14_GL000194v1_random	1.2401	191469	0.0000	32.8037	62809	2971	3068	0.4520	0	2.61
chr14_KI270723v1_random	0.0578	38115	0.0000	4.1978	1600	33	25	0.4396	0	0.31
chr14_KI270724v1_random	0.0543	39555	0.0000	4.0425	1599	24	34	0.4269	0	0.28
chr14_KI270725v1_random	0.0325	172810	0.0000	1.5352	2653	77	70	0.4690	0	0.75
chr14_KI270726v1_random	0.2069	43739	0.0000	13.8320	6050	111	121	0.4831	0	0.61
chr15_KI270727v1_random	0.0256	448248	0.0000	1.4356	6435	140	161	0.4121	0	0.32
chr16_KI270728v1_random	0.0638	1872759	0.0000	3.6505	68365	1542	1553	0.4351	0	0.42
chr17_GL000205v2_random	1.3874	185591	0.0000	27.5358	51104	3181	3405	0.4201	0	3.86
chr17_KI270729v1_random	0.0321	280839	0.0000	1.3666	3838	128	110	0.4143	0	0.46
chr17_KI270730v1_random	0.0192	112551	0.0000	1.0751	1210	26	31	0.4204	0	0.27
chr22_KI270731v1_random	0.1044	150754	0.0000	5.4314	8188	213	192	0.4811	0	0.60
chr22_KI270732v1_random	0.0208	41543	0.0000	1.8439	766	10	12	0.4071	0	0.16
chr22_KI270733v1_random	649.5028	179772	0.0000	33.9664	61062	1443114	1483150	0.6183	0	2906.74
chr22_KI270734v1_random	0.1503	165050	0.0000	8.2278	13580	304	338	0.5013	0	0.70
chr22_KI270735v1_random	0.0325	42811	0.0000	2.1513	921	18	18	0.4000	0	0.23
chr22_KI270736v1_random	0.0073	181920	0.0000	0.5052	919	9	28	0.4083	0	0.13
chr22_KI270737v1_random	0.0300	103838	0.0000	1.7980	1867	48	33	0.4119	0	0.29
chr22_KI270738v1_random	0.0136	99375	0.0000	0.8624	857	20	15	0.4318	0	0.17
chr22_KI270739v1_random	0.0149	73985	0.0000	0.7556	559	16	13	0.4749	0	0.21
chrY_KI270740v1_random	0.0000	37240	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270302v1	0.0000	2274	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270304v1	3.5039	2165	0.0000	57.2286	1239	93	100	0.4234	1	5.94
chrUn_KI270303v1	3.2029	1942	0.0000	64.4181	1251	71	87	0.4127	1	4.34
chrUn_KI270305v1	0.0000	1472	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270322v1	0.0054	21476	0.0000	0.1956	42	2	1	0.4318	0	0.12
chrUn_KI270320v1	0.0000	4416	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270310v1	4.0608	1201	0.0000	76.2698	916	60	64	0.4042	3	4.47
chrUn_KI270316v1	0.0000	1444	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270315v1	0.0334	2276	0.0000	3.3392	76	1	1	0.4483	0	0.18
chrUn_KI270312v1	0.5731	998	0.0000	26.5531	265	9	6	0.3693	0	1.15
chrUn_KI270311v1	0.0035	12399	0.0000	0.3549	44	0	1	0.4510	0	0.06
chrUn_KI270317v1	0.1050	37690	0.0000	3.3431	1260	48	54	0.4041	0	0.71
chrUn_KI270412v1	0.1976	1179	0.0000	16.9635	200	4	2	0.3755	0	0.46
chrUn_KI270411v1	0.1973	2646	0.0000	15.1172	400	7	6	0.4084	0	0.50
chrUn_KI270414v1	0.0000	2489	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270419v1	0.0000	1029	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270418v1	0.6643	2145	0.0000	30.7692	660	14	23	0.4145	0	1.44
chrUn_KI270420v1	0.1293	2321	0.0000	5.1702	120	4	4	0.4386	0	0.62
chrUn_KI270424v1	0.0000	2140	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270417v1	0.0000	2043	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270422v1	1.6014	1445	0.0000	43.5294	629	20	40	0.4012	0	2.53
chrUn_KI270423v1	0.0000	981	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270425v1	0.0000	1884	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270429v1	0.0000	1361	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270442v1	0.3837	392061	0.0000	3.7206	14587	1713	2468	0.4368	0	15.68
chrUn_KI270466v1	5.4006	1233	0.0000	84.5093	1042	48	128	0.2428	4	6.01
chrUn_KI270465v1	0.5096	1774	0.0000	29.1995	518	15	9	0.3713	0	1.00
chrUn_KI270467v1	5.2237	3920	0.0000	56.9898	2234	168	371	0.2539	2	8.51
chrUn_KI270435v1	0.0532	92983	0.0000	4.0889	3802	64	62	0.3879	0	0.28
chrUn_KI270438v1	0.0125	112505	0.0000	0.9395	1057	14	24	0.3974	0	0.14
chrUn_KI270468v1	0.0106	4055	0.0000	1.0604	43	1	0	0.4118	0	0.10
chrUn_KI270510v1	0.0000	2415	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270509v1	0.0155	2318	0.0000	1.5531	36	1	0	0.3889	0	0.12
chrUn_KI270518v1	0.0000	2186	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270508v1	0.1927	1951	0.0000	6.4582	126	6	5	0.4329	0	0.87
chrUn_KI270516v1	0.0000	1300	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270512v1	0.0214	22689	0.0000	1.3399	304	7	6	0.4530	0	0.22
chrUn_KI270519v1	0.0181	138126	0.0000	1.2105	1672	35	33	0.3923	0	0.22
chrUn_KI270522v1	0.0740	5674	0.0000	4.5471	258	7	4	0.3868	0	0.38
chrUn_KI270511v1	0.0122	8127	0.0000	1.2182	99	3	0	0.3889	0	0.11
chrUn_KI270515v1	0.0000	6361	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270507v1	0.0288	5353	0.0000	2.3165	124	1	3	0.4655	0	0.20
chrUn_KI270517v1	0.0000	3253	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270529v1	0.0000	1899	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270528v1	0.0000	2983	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270530v1	0.0000	2168	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270539v1	0.0312	993	0.0000	3.1219	31	1	0	0.8611	0	0.17
chrUn_KI270538v1	0.0099	91309	0.0000	0.6571	600	13	10	0.4447	0	0.15
chrUn_KI270544v1	0.2512	1202	0.0000	17.5541	211	3	5	0.4428	0	0.58
chrUn_KI270548v1	0.0000	1599	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270583v1	0.0243	1400	0.0000	2.4286	34	0	1	0.3056	0	0.15
chrUn_KI270587v1	0.0273	2969	0.0000	1.7851	53	1	1	0.3563	0	0.21
chrUn_KI270580v1	0.3574	1553	0.0000	25.8210	401	6	8	0.3957	0	0.75
chrUn_KI270581v1	0.2545	7046	0.0000	20.3236	1432	20	26	0.3930	0	0.55
chrUn_KI270579v1	0.3687	31033	0.0000	27.4708	8525	157	134	0.3820	0	0.70
chrUn_KI270589v1	0.0121	44474	0.0000	0.9691	431	10	5	0.4100	0	0.13
chrUn_KI270590v1	0.0239	4685	0.0000	2.3906	112	1	2	0.4228	0	0.15
chrUn_KI270584v1	0.2537	4513	0.0000	13.7159	619	19	11	0.3701	0	0.84
chrUn_KI270582v1	0.2335	6504	0.0000	19.6187	1276	20	18	0.3866	0	0.51
chrUn_KI270588v1	0.0188	6158	0.0000	1.8837	116	2	1	0.4309	0	0.14
chrUn_KI270593v1	0.0000	3041	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270591v1	0.0131	5796	0.0000	1.3112	76	2	0	0.4138	0	0.11
chrUn_KI270330v1	3.8232	1652	0.0000	70.8232	1170	117	50	0.4284	2	6.23
chrUn_KI270329v1	0.0000	1040	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270334v1	0.0000	1368	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270333v1	0.4424	2699	0.0000	12.8196	346	24	8	0.2185	0	1.72
chrUn_KI270335v1	0.0000	1048	0.0000	0.0000	0	0	0	0.0000	0	0.00
