#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
chr1	0.0521	195471971	0.0000	0.3174	620480	145518	99330	0.5576	0	2.56
chr10	0.0699	130694993	0.0000	0.4150	542430	130330	88391	0.5619	0	2.35
chr11	0.1318	122082543	0.0000	0.6638	810412	219007	163857	0.5652	0	5.50
chr12	0.0561	120129022	0.0000	0.3300	396424	98490	64174	0.5685	0	3.39
chr13	0.0613	120421639	0.0000	0.3519	423755	102447	75084	0.5539	0	2.82
chr14	0.0464	124902244	0.0000	0.2943	367647	82908	56789	0.5568	0	1.83
chr15	0.0670	104043685	0.0000	0.3989	415024	95633	71018	0.5645	0	3.33
chr16	0.0602	98207768	0.0000	0.3443	338134	85218	56820	0.5614	0	2.96
chr17	0.1080	94987271	0.0000	0.5371	510197	151324	93499	0.5621	0	5.81
chr18	0.0492	90702639	0.0000	0.2933	266038	68306	38743	0.5650	0	2.90
chr19	0.1109	61431566	0.0000	0.5965	366467	94602	68179	0.5625	0	3.92
chr1_GL456210_random	0.1407	169725	0.0000	0.9563	1623	406	158	0.5180	0	3.26
chr1_GL456211_random	0.0717	241735	0.0000	0.6879	1663	250	157	0.5213	0	1.84
chr1_GL456212_random	0.0651	153618	0.0000	0.5657	869	104	131	0.5065	0	1.76
chr1_GL456213_random	0.0000	39340	0.0000	0.0000	0	0	0	0.0000	0	0.00
chr1_GL456221_random	0.0622	206961	0.0000	0.5687	1177	240	62	0.5163	0	2.50
chr2	0.0732	182113224	0.0000	0.4335	789427	184144	134409	0.5620	0	2.73
chr3	0.0515	160039680	0.0000	0.3005	480944	124546	73926	0.5585	0	2.63
chr4	0.0729	156508116	0.0000	0.4063	635933	155774	116368	0.5650	0	4.40
chr4_GL456216_random	0.3686	66673	0.0000	1.4999	1000	128	435	0.5317	0	5.84
chr4_GL456350_random	0.0098	227966	0.0000	0.1750	399	38	14	0.6250	0	0.34
chr4_JH584292_random	0.0000	14945	0.0000	0.0000	0	0	0	0.0000	0	0.00
chr4_JH584293_random	0.0271	207968	0.0000	0.3169	659	115	19	0.5992	0	0.70
chr4_JH584294_random	0.0221	191905	0.0000	0.3121	599	33	66	0.5844	0	0.48
chr4_JH584295_random	0.1690	1976	0.0000	2.1761	43	0	8	0.7273	0	1.13
chr5	0.0744	151834684	0.0000	0.4356	661411	162202	110199	0.5659	0	2.97
chr5_GL456354_random	0.0081	195993	0.0000	0.1291	253	44	0	0.5008	0	0.28
chr5_JH584296_random	0.0108	199368	0.0000	0.1605	320	46	9	0.4953	0	0.39
chr5_JH584297_random	0.0066	205776	0.0000	0.0991	204	32	8	0.5082	0	0.25
chr5_JH584298_random	0.0000	184189	0.0000	0.0000	0	0	0	0.0000	0	0.00
chr5_JH584299_random	0.0038	953012	0.0000	0.0457	436	78	9	0.5158	0	0.24
chr6	0.0592	149736546	0.0000	0.3576	535386	130719	81840	0.5554	0	3.11
chr7	0.0836	145441459	0.0000	0.4702	683813	161461	129502	0.5636	0	2.84
chr7_GL456219_random	0.0008	175968	0.0000	0.0466	82	4	0	0.5070	0	0.04
chr8	0.0708	129401213	0.0000	0.4132	534656	130250	90035	0.5710	0	2.86
chr9	0.0701	124595110	0.0000	0.4092	509789	121116	88674	0.5628	0	3.52
chrM	0.9596	16299	0.0000	12.7615	2080	202	174	0.4085	0	4.94
chrUn_GL456239	0.0039	40056	0.0000	0.1598	64	5	1	0.4722	0	0.12
chrUn_GL456359	0.0683	22974	0.0000	0.1915	44	0	36	0.5674	0	1.56
chrUn_GL456360	0.0000	31704	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_GL456366	0.0156	47073	0.0000	0.1423	67	21	0	0.4277	0	0.55
chrUn_GL456367	0.0426	42057	0.0000	0.1926	81	37	0	0.3285	0	1.22
chrUn_GL456368	0.0260	20208	0.0000	0.4305	87	3	9	0.3663	0	0.45
chrUn_GL456370	1.3559	26764	0.0000	1.7150	459	752	63	0.5330	0	16.72
chrUn_GL456372	0.0140	28664	0.0000	0.5617	161	8	3	0.5438	0	0.20
chrUn_GL456378	0.0038	31602	0.0000	0.1899	60	1	3	0.7698	0	0.10
chrUn_GL456379	0.0103	72385	0.0000	0.0428	31	24	0	0.4444	0	0.50
chrUn_GL456381	0.0000	25871	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_GL456382	0.0018	23158	0.0000	0.1770	41	1	0	0.4681	0	0.04
chrUn_GL456383	0.0000	38659	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_GL456385	0.0008	35240	0.0000	0.0766	27	1	0	0.5484	0	0.03
chrUn_GL456387	0.0000	24685	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_GL456389	0.0187	28772	0.0000	0.1251	36	0	15	0.5755	0	0.53
chrUn_GL456390	0.0065	24668	0.0000	0.6486	160	6	0	0.3978	0	0.08
chrUn_GL456392	0.1205	23629	0.0000	0.4698	111	70	0	0.4436	0	2.20
chrUn_GL456393	0.0000	55711	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_GL456394	0.0000	24323	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_GL456396	0.0441	21240	0.0000	0.6874	146	30	0	0.4311	0	0.87
chrUn_JH584304	1.0557	114452	0.0000	4.2612	4877	1475	1425	0.5403	0	10.07
chrX	0.0234	171031299	0.0000	0.1727	295376	58894	39056	0.5375	0	1.20
chrX_GL456233_random	0.0239	336933	0.0000	0.1727	582	142	67	0.5110	0	1.19
chrY	0.0074	91744698	0.0000	0.0501	45940	7759	8278	0.5440	0	0.64
chrY_JH584300_random	0.0098	182347	0.0000	0.0252	46	39	0	0.3139	0	0.62
chrY_JH584301_random	0.0004	259875	0.0000	0.0092	24	4	0	0.3200	0	0.04
chrY_JH584302_random	0.0000	155838	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrY_JH584303_random	0.0000	158099	0.0000	0.0000	0	0	0	0.0000	0	0.00
