#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
chr1	0.8289	248956422	0.0000	16.7306	41651944	1613166	1658906	0.4561	0	43.66
chr2	0.4727	242193529	0.0000	15.5621	37690410	957132	856160	0.4322	0	5.96
chr3	0.5066	198295559	0.0000	15.4634	30663143	781358	802650	0.4351	0	11.48
chr4	0.3208	190214555	0.0000	11.7076	22269534	462515	503138	0.4181	0	3.57
chr5	0.5396	181538259	0.0000	15.0614	27342168	844917	708149	0.4320	0	7.78
chr6	0.6160	170805979	0.0000	14.1230	24122960	954216	714342	0.4567	0	41.11
chr7	0.6196	159345973	0.0000	17.1307	27297057	790254	773235	0.4440	0	5.37
chr8	0.4448	145138636	0.0000	13.3925	19437638	481177	537651	0.4319	0	17.61
chr9	0.3885	138394717	0.0000	13.5499	18752401	441457	415170	0.4501	0	5.57
chr10	0.5132	133797422	0.0000	17.2733	23111254	574525	505993	0.4313	0	3.72
chr11	0.5195	135086622	0.0000	13.8851	18756916	583304	531505	0.4567	0	10.88
chr12	0.7767	133275309	0.0000	17.6033	23460861	1014226	686449	0.4588	0	53.07
chr13	0.2818	114364328	0.0000	9.7651	11167823	243139	266494	0.4192	0	7.67
chr14	0.6093	107043718	0.0000	15.8521	16968650	562142	466351	0.4530	0	23.27
chr15	0.5540	101991189	0.0000	15.3143	15619258	452328	438612	0.4412	0	10.55
chr16	0.7804	90338345	0.0000	18.9757	17142299	574317	546348	0.4782	0	10.76
chr17	1.3805	83257441	0.0000	24.6557	20527741	886640	933810	0.4690	0	40.13
chr18	0.3466	80373285	0.0000	11.4917	9236258	240375	197900	0.4275	0	2.94
chr19	0.9749	58617616	0.0000	25.1573	14746595	503490	414951	0.5021	0	7.77
chr20	0.8364	64444167	0.0000	18.8364	12138961	415206	452614	0.4536	0	17.29
chr21	13.0408	46709983	0.0000	14.1989	6632306	9636004	155437	0.5435	0	611.75
chr22	0.5271	50818468	0.0000	17.0073	8642849	222129	205477	0.4787	0	4.85
chrX	0.1920	156040895	0.0000	8.0442	12552218	258978	225495	0.4456	0	5.34
chrY	0.0170	57227415	0.0000	0.6831	390917	11148	7483	0.4320	0	3.29
chrM	3302.8229	16569	0.0000	100.0000	16569	508812	344917	0.4286	2739	2335.36
chr1_KI270706v1_random	1.4011	175055	0.0000	46.9287	82151	3282	642	0.4109	0	3.60
chr1_KI270707v1_random	0.6712	32032	0.0000	29.7296	9523	59	292	0.4142	0	1.51
chr1_KI270708v1_random	0.2851	127682	0.0000	7.6158	9724	591	40	0.4180	0	2.46
chr1_KI270709v1_random	0.0700	66860	0.0000	5.5833	3733	16	61	0.3677	0	0.31
