#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
chr1	0.4796	195471971	0.0000	10.9247	21354781	853661	1038963	0.5149	0	19.99
chr10	0.8125	130694993	0.0000	13.3619	17463373	979913	1161501	0.5286	0	13.93
chr11	0.9329	122082543	0.0000	16.9811	20730920	1139505	1178661	0.5449	0	46.45
chr12	0.7983	120129022	0.0000	10.8023	12976721	1063597	904971	0.5725	0	114.80
chr13	0.5410	120421639	0.0000	10.6752	12855249	662142	667987	0.5400	0	22.65
chr14	0.5421	124902244	0.0000	11.3125	14129541	704049	658621	0.5181	0	13.74
chr15	0.7358	104043685	0.0000	13.2325	13767624	607170	948146	0.5375	0	18.28
chr16	0.4899	98207768	0.0000	9.9113	9733636	442825	564115	0.5513	0	52.80
chr17	3.4656	94987271	0.0000	17.0339	16180040	5343966	1438152	0.6420	0	306.32
chr18	0.4524	90702639	0.0000	11.3545	10298801	425924	399956	0.5131	0	5.65
chr19	1.3178	61431566	0.0000	16.5886	10190611	794858	835793	0.5189	0	24.36
chr1_GL456210_random	0.1464	169725	0.0000	10.6690	18108	223	274	0.4795	0	0.56
chr1_GL456211_random	0.1370	241735	0.0000	10.4081	25160	317	347	0.4872	0	0.54
chr1_GL456212_random	0.1852	153618	0.0000	12.3260	18935	320	247	0.4795	0	0.73
chr1_GL456213_random	0.0894	39340	0.0000	5.3152	2091	14	57	0.5230	0	0.50
chr1_GL456221_random	0.1565	206961	0.0000	11.4123	23619	285	363	0.4784	0	0.60
chr2	0.6909	182113224	0.0000	14.1110	25697976	1416289	1116105	0.5228	0	13.80
chr3	0.4210	160039680	0.0000	9.4220	15078979	717130	667726	0.5171	0	25.54
chr4	0.5099	156508116	0.0000	12.2256	19134024	844695	763964	0.5300	0	7.17
chr4_GL456216_random	0.6872	66673	0.0000	14.9536	9970	599	358	0.5767	0	2.88
chr4_GL456350_random	0.0530	227966	0.0000	3.6505	8322	126	119	0.5258	0	0.40
chr4_JH584292_random	0.0270	14945	0.0000	2.3620	353	2	6	0.4730	0	0.18
chr4_JH584293_random	0.1009	207968	0.0000	5.2268	10870	286	141	0.5451	0	0.66
chr4_JH584294_random	0.1219	191905	0.0000	6.3333	12154	152	322	0.5355	0	0.77
