#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
chr1	0.2635	195471971	0.0000	7.3228	14314038	610043	716682	0.4494	0	16.66
chr10	0.2352	130694993	0.0000	7.4459	9731430	399327	387701	0.4689	0	6.40
chr11	0.4233	122082543	0.0000	10.1391	12378036	726808	597420	0.4813	0	22.38
chr12	0.2006	120129022	0.0000	6.7316	8086594	334046	282809	0.4648	0	4.07
chr13	0.3288	120421639	0.0000	7.6167	9172110	493585	522647	0.4779	0	22.32
chr14	0.1945	124902244	0.0000	6.4957	8113288	350813	270813	0.4581	0	8.75
chr15	0.2429	104043685	0.0000	7.9460	8267316	305536	341044	0.4720	0	6.50
chr16	0.2428	98207768	0.0000	7.9431	7800700	325204	284273	0.4516	0	6.44
chr17	0.3121	94987271	0.0000	8.6613	8227127	390915	369740	0.4839	0	10.82
chr18	0.2065	90702639	0.0000	7.2958	6617509	248202	231015	0.4578	0	3.59
chr19	0.3551	61431566	0.0000	9.3333	5733585	250423	307244	0.4735	0	14.72
chr1_GL456210_random	0.0287	169725	0.0000	2.0374	3458	78	47	0.4348	0	0.23
chr1_GL456211_random	0.0216	241735	0.0000	1.5352	3711	67	66	0.4428	0	0.21
chr1_GL456212_random	0.0285	153618	0.0000	2.1736	3339	49	63	0.4236	0	0.21
chr1_GL456213_random	0.3619	39340	0.0000	13.0554	5136	179	191	0.4643	0	1.57
chr1_GL456221_random	0.0271	206961	0.0000	1.8496	3828	71	73	0.4282	0	0.25
chr2	0.2659	182113224	0.0000	8.5204	15516855	644287	594775	0.4636	0	6.27
chr3	0.2516	160039680	0.0000	7.2901	11667092	527786	504565	0.4587	0	9.82
chr4	0.2488	156508116	0.0000	7.7324	12101761	531738	464194	0.4673	0	10.77
chr4_GL456216_random	0.6128	66673	0.0000	18.3658	12245	518	529	0.4194	0	4.78
chr4_GL456350_random	0.2132	227966	0.0000	6.7817	15460	642	600	0.5118	0	1.84
chr4_JH584292_random	0.0075	14945	0.0000	0.4885	73	3	0	0.4123	0	0.11
chr4_JH584293_random	0.1961	207968	0.0000	7.0756	14715	505	545	0.5095	0	1.56
chr4_JH584294_random	0.1890	191905	0.0000	7.2901	13990	466	468	0.5176	0	1.42
chr4_JH584295_random	0.3365	1976	0.0000	22.0142	435	0	17	0.5120	0	0.74
chr5	0.2509	151834684	0.0000	7.9107	12011234	495070	479689	0.4745	0	6.28
chr5_GL456354_random	0.0090	195993	0.0000	0.6209	1217	24	22	0.4208	0	0.13
chr5_JH584296_random	0.0291	199368	0.0000	1.2876	2567	64	86	0.4553	0	0.44
chr5_JH584297_random	0.0284	205776	0.0000	1.0808	2224	59	91	0.4573	0	0.45
chr5_JH584298_random	0.0057	184189	0.0000	0.4099	755	20	7	0.4093	0	0.10
chr5_JH584299_random	0.0079	953012	0.0000	0.5292	5043	118	74	0.4202	0	0.13
chr6	0.2199	149736546	0.0000	7.1097	10645821	464543	380244	0.4585	0	9.21
chr7	0.2653	145441459	0.0000	7.6030	11057884	480975	507529	0.4879	0	6.55
chr7_GL456219_random	0.0105	175968	0.0000	0.8240	1450	28	20	0.4260	0	0.13
chr8	0.2476	129401213	0.0000	7.8089	10104869	417193	402856	0.4768	0	4.84
chr9	0.2744	124595110	0.0000	8.7087	10850590	426451	447930	0.4649	0	11.39
chrM	1753.5708	16299	0.0000	100.0000	16299	280024	465399	0.3106	550	4506.33
chrUn_GL456239	0.0240	40056	0.0000	0.9986	400	6	19	0.4627	0	0.38
chrUn_GL456359	0.1043	22974	0.0000	4.8054	1104	42	21	0.4365	0	0.61
chrUn_GL456360	0.0087	31704	0.0000	0.7412	235	3	4	0.3891	0	0.11
chrUn_GL456366	0.0173	47073	0.0000	1.4637	689	10	11	0.3768	0	0.15
chrUn_GL456367	0.0194	42057	0.0000	0.8916	375	6	15	0.4602	0	0.23
chrUn_GL456368	0.1757	20208	0.0000	9.7239	1965	40	50	0.3766	0	0.91
chrUn_GL456370	0.3300	26764	0.0000	14.2991	3827	28	200	0.2637	0	1.09
chrUn_GL456372	0.0181	28664	0.0000	1.2629	362	4	9	0.4635	0	0.21
chrUn_GL456378	0.1143	31602	0.0000	5.2212	1650	25	69	0.4698	0	0.81
chrUn_GL456379	0.0186	72385	0.0000	0.8400	608	21	15	0.3668	0	0.27
chrUn_GL456381	0.0025	25871	0.0000	0.2512	65	1	1	0.4615	0	0.05
chrUn_GL456382	0.0635	23158	0.0000	2.5002	579	10	29	0.5318	0	0.66
chrUn_GL456383	0.0279	38659	0.0000	1.6400	634	19	12	0.3919	0	0.30
chrUn_GL456385	0.0132	35240	0.0000	0.9818	346	8	4	0.3504	0	0.15
chrUn_GL456387	0.0053	24685	0.0000	0.5266	130	0	4	0.4923	0	0.07
chrUn_GL456389	0.0866	28772	0.0000	1.8421	530	39	31	0.3940	0	1.44
chrUn_GL456390	0.0379	24668	0.0000	2.0553	507	14	12	0.3794	0	0.31
chrUn_GL456392	0.0693	23629	0.0000	3.7158	878	27	18	0.3555	0	0.49
chrUn_GL456393	0.0044	55711	0.0000	0.3949	220	4	4	0.3465	0	0.07
chrUn_GL456394	0.0027	24323	0.0000	0.2672	65	0	2	0.4769	0	0.05
chrUn_GL456396	0.1560	21240	0.0000	1.8927	402	75	11	0.3433	0	2.67
chrUn_JH584304	4.4528	114452	0.0000	40.4003	46239	7107	5993	0.4848	0	28.96
chrX	0.0974	171031299	0.0000	3.8590	6600111	231377	195496	0.4349	0	3.02
chrX_GL456233_random	0.1232	336933	0.0000	6.6343	22353	695	394	0.3964	0	0.98
chrY	0.0081	91744698	0.0000	0.2942	269908	8726	10411	0.4322	0	1.93
chrY_JH584300_random	0.0009	182347	0.0000	0.0494	90	3	1	0.2063	0	0.04
chrY_JH584301_random	0.0009	259875	0.0000	0.0677	176	3	3	0.4000	0	0.04
chrY_JH584302_random	0.0013	155838	0.0000	0.0513	80	0	5	0.4950	0	0.07
chrY_JH584303_random	0.0003	158099	0.0000	0.0253	40	1	0	0.3750	0	0.02
