#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
chr1	0.2753	248956422	0.0000	9.1187	22701712	622502	773009	0.4614	0	46.05
chr2	0.1681	242193529	0.0000	8.0767	19561218	406164	428014	0.4259	0	14.16
chr3	0.1597	198295559	0.0000	7.4735	14819546	381043	264646	0.4376	0	19.21
chr4	0.1060	190214555	0.0000	5.4331	10334483	226192	193773	0.4071	0	7.51
chr5	0.1884	181538259	0.0000	8.1583	14810526	404165	295878	0.4155	0	10.57
chr6	0.1906	170805979	0.0000	7.7371	13215411	374692	290274	0.4450	0	15.41
chr7	0.1574	159345973	0.0000	8.1277	12951203	277080	238613	0.4332	0	2.13
chr8	0.1552	145138636	0.0000	6.2657	9093955	178242	284142	0.4477	0	38.79
chr9	0.1582	138394717	0.0000	7.0624	9773982	272172	176100	0.4568	0	18.75
chr10	0.1550	133797422	0.0000	8.5135	11390833	240498	184966	0.4199	0	1.54
chr11	0.1940	135086622	0.0000	7.6201	10293802	323491	213545	0.4376	0	27.01
chr12	0.2411	133275309	0.0000	8.9120	11877464	404147	252505	0.4645	0	40.83
chr13	0.1054	114364328	0.0000	5.2621	6017932	109772	135996	0.4083	0	4.69
chr14	0.2415	107043718	0.0000	7.3960	7916935	288729	236158	0.4960	0	36.11
chr15	0.1592	101991189	0.0000	8.3984	8565586	181986	150118	0.4253	0	3.38
chr16	0.2619	90338345	0.0000	10.3645	9363085	250588	233919	0.4706	0	8.99
chr17	0.3687	83257441	0.0000	14.1221	11757675	318729	314703	0.4699	0	19.68
chr18	0.1089	80373285	0.0000	6.0519	4864114	101607	80854	0.4055	0	2.32
chr19	0.3346	58617616	0.0000	15.3190	8979644	250436	151856	0.5007	0	14.45
chr20	0.1951	64444167	0.0000	8.3191	5361194	118569	139949	0.4529	0	20.98
chr21	16.5970	46709983	0.0000	7.1805	3354000	15623654	64908	0.5786	0	793.16
chr22	0.2080	50818468	0.0000	9.8456	5003363	120109	96148	0.4852	0	5.71
chrX	0.0870	156040895	0.0000	4.2485	6629427	169585	112289	0.4333	0	12.84
chrY	0.0186	57227415	0.0000	0.8570	490442	19696	5891	0.3818	0	3.51
chrM	780.3918	16569	0.0000	99.9095	16554	239508	22103	0.4241	428	1055.60
chr1_KI270706v1_random	0.0066	175055	0.0000	0.5295	927	13	11	0.4761	0	0.10
chr1_KI270707v1_random	0.0064	32032	0.0000	0.6369	204	2	2	0.4069	0	0.08
chr1_KI270708v1_random	0.0155	127682	0.0000	1.3400	1711	31	9	0.4266	0	0.14
chr1_KI270709v1_random	0.0084	66860	0.0000	0.7628	510	5	6	0.3387	0	0.10
chr1_KI270710v1_random	0.0069	40176	0.0000	0.5675	228	5	1	0.3936	0	0.10
chr1_KI270711v1_random	1.2336	42210	0.0000	56.1834	23715	6	1036	0.4116	1	1.80
chr1_KI270712v1_random	0.0837	176043	0.0000	5.1749	9110	116	183	0.3635	0	0.58
chr1_KI270713v1_random	19.3554	40745	0.0000	21.9561	8946	170	15718	0.5248	0	295.27
chr1_KI270714v1_random	0.1030	41717	0.0000	6.3619	2654	60	26	0.4101	0	0.48
chr2_KI270715v1_random	0.0000	161471	0.0000	0.0000	0	0	0	0.0000	0	0.00
chr2_KI270716v1_random	0.0003	153799	0.0000	0.0306	47	0	1	0.3333	0	0.02
chr3_GL000221v1_random	0.0121	155397	0.0000	0.9524	1480	22	16	0.4537	0	0.13
chr4_GL000008v2_random	0.0102	209709	0.0000	0.7510	1575	28	17	0.4213	0	0.13
chr5_GL000208v1_random	0.0104	92689	0.0000	0.8814	817	8	11	0.3808	0	0.12
chr9_KI270717v1_random	0.0049	40062	0.0000	0.3345	134	3	2	0.6224	0	0.10
chr9_KI270718v1_random	0.2362	38054	0.0000	6.1097	2325	85	97	0.5188	0	2.35
chr9_KI270719v1_random	0.0764	176845	0.0000	6.1195	10822	19	259	0.3426	0	0.34
chr9_KI270720v1_random	0.1074	39050	0.0000	7.3521	2871	11	75	0.3518	0	0.49
chr11_KI270721v1_random	0.1644	100316	0.0000	8.4971	8524	325	9	0.6429	0	0.89
chr14_GL000009v2_random	0.0054	201709	0.0000	0.4740	956	13	10	0.4404	0	0.08
chr14_GL000225v1_random	0.0129	211173	0.0000	1.1607	2451	41	15	0.4506	0	0.12
chr14_KI270722v1_random	0.0136	194050	0.0000	1.0709	2078	43	11	0.4012	0	0.15
chr14_GL000194v1_random	0.0077	191469	0.0000	0.6602	1264	10	23	0.4154	0	0.10
chr14_KI270723v1_random	0.0119	38115	0.0000	0.8632	329	5	5	0.4276	0	0.14
chr14_KI270724v1_random	0.0292	39555	0.0000	1.4385	569	19	5	0.5307	0	0.39
chr14_KI270725v1_random	0.0507	172810	0.0000	2.1584	3730	166	12	0.3245	0	0.53
chr14_KI270726v1_random	0.0461	43739	0.0000	2.8007	1225	28	14	0.4818	0	0.32
chr15_KI270727v1_random	0.0791	448248	0.0000	4.6166	20694	255	469	0.4453	0	0.56
chr16_KI270728v1_random	0.0379	1872759	0.0000	2.6086	48853	914	547	0.4078	0	0.31
chr17_GL000205v2_random	1.1168	185591	0.0000	34.5868	64190	617	3562	0.4152	0	2.63
chr17_KI270729v1_random	0.0038	280839	0.0000	0.2681	753	18	4	0.3821	0	0.08
chr17_KI270730v1_random	0.0002	112551	0.0000	0.0222	25	0	1	0.1600	0	0.01
chr22_KI270731v1_random	0.0727	150754	0.0000	4.6705	7041	183	40	0.4604	0	0.51
chr22_KI270732v1_random	0.0095	41543	0.0000	0.9484	394	7	2	0.3283	0	0.10
chr22_KI270733v1_random	2243.9106	179772	0.0000	30.5248	54875	8161451	330	0.5801	0	9071.88
chr22_KI270734v1_random	0.0812	165050	0.0000	5.2045	8590	127	147	0.5430	0	0.46
chr22_KI270735v1_random	0.0071	42811	0.0000	0.7124	305	4	2	0.3791	0	0.08
chr22_KI270736v1_random	0.0018	181920	0.0000	0.1303	237	0	7	0.4655	0	0.05
chr22_KI270737v1_random	0.0029	103838	0.0000	0.2465	256	0	6	0.3039	0	0.06
chr22_KI270738v1_random	0.0061	99375	0.0000	0.4498	447	7	5	0.3856	0	0.10
chr22_KI270739v1_random	0.0041	73985	0.0000	0.2217	164	4	2	0.3497	0	0.10
chrY_KI270740v1_random	0.0000	37240	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270302v1	0.0000	2274	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270304v1	0.0236	2165	0.0000	2.3557	51	0	1	0.4510	0	0.15
chrUn_KI270303v1	0.0000	1942	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270305v1	0.0000	1472	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270322v1	0.0023	21476	0.0000	0.2328	50	1	0	0.5000	0	0.05
chrUn_KI270320v1	0.0000	4416	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270310v1	0.0841	1201	0.0000	6.4946	78	0	2	0.3431	0	0.34
chrUn_KI270316v1	0.0000	1444	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270315v1	0.0000	2276	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270312v1	0.0000	998	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270311v1	0.0000	12399	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270317v1	0.0000	37690	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270412v1	0.0000	1179	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270411v1	0.0000	2646	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270414v1	0.0000	2489	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270419v1	0.0000	1029	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270418v1	0.0000	2145	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270420v1	0.0000	2321	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270424v1	0.0000	2140	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270417v1	0.0000	2043	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270422v1	0.0000	1445	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270423v1	0.0000	981	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270425v1	0.0000	1884	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270429v1	0.0000	1361	0.0000	0.0000	0	0	0	0.0000	0	0.00
chrUn_KI270442v1	1.7077	392061	0.0000	1.4572	5713	77	13974	0.4135	0	90.31
chrUn_KI270466v1	0.0000	1233	0.0000	0.0000	0	0	0	0.0000	0	0.00
